,Mean,Std Dev
Memb.AreaShape_Area,-1.739247886646373e-16,1.0
Memb.AreaShape_BoundingBoxArea,8.396369107948009e-17,1.0
Memb.AreaShape_CentralMoment_0_0,-1.739247886646373e-16,1.0
Memb.AreaShape_CentralMoment_0_1,1.4993516264192871e-18,0.9999999999999999
Memb.AreaShape_CentralMoment_0_2,-4.1981845539740043e-17,1.0
Memb.AreaShape_CentralMoment_0_3,5.9974065056771485e-18,1.0
Memb.AreaShape_CentralMoment_1_0,0.0,1.0
Memb.AreaShape_CentralMoment_1_1,-1.0495461384935011e-17,1.0
Memb.AreaShape_CentralMoment_1_2,5.9974065056771485e-18,1.0
Memb.AreaShape_CentralMoment_1_3,-2.9987032528385742e-18,1.0
Memb.AreaShape_CentralMoment_2_0,5.9974065056771485e-18,0.9999999999999999
Memb.AreaShape_CentralMoment_2_1,-7.496758132096436e-19,1.0
Memb.AreaShape_CentralMoment_2_2,2.9987032528385742e-18,1.0
Memb.AreaShape_CentralMoment_2_3,-6.747082318886792e-18,1.0
Memb.AreaShape_Compactness,-2.338988537214088e-16,1.0
Memb.AreaShape_ConvexArea,0.0,1.0
Memb.AreaShape_Eccentricity,-1.5593256914760587e-16,1.0000000000000002
Memb.AreaShape_EquivalentDiameter,8.396369107948009e-17,1.0
Memb.AreaShape_EulerNumber,,
Memb.AreaShape_Extent,-4.797925204541719e-16,1.0
Memb.AreaShape_FormFactor,-1.3194294312489727e-16,1.0
Memb.AreaShape_HuMoment_0,1.739247886646373e-16,1.0
Memb.AreaShape_HuMoment_1,-5.9974065056771485e-18,1.0
Memb.AreaShape_HuMoment_2,0.0,0.9999999999999998
Memb.AreaShape_HuMoment_3,-5.9974065056771485e-18,1.0
Memb.AreaShape_HuMoment_4,-5.9974065056771485e-18,1.0
Memb.AreaShape_HuMoment_5,-2.9987032528385742e-18,0.9999999999999999
Memb.AreaShape_HuMoment_6,0.0,0.9999999999999998
Memb.AreaShape_InertiaTensorEigenvalues_0,5.9974065056771485e-18,1.0
Memb.AreaShape_InertiaTensorEigenvalues_1,8.996109758515723e-17,1.0
Memb.AreaShape_InertiaTensor_0_0,5.9974065056771485e-18,1.0
Memb.AreaShape_InertiaTensor_0_1,7.496758132096435e-18,1.0
Memb.AreaShape_InertiaTensor_1_0,7.496758132096435e-18,1.0
Memb.AreaShape_InertiaTensor_1_1,1.1994813011354297e-17,0.9999999999999999
Memb.AreaShape_MajorAxisLength,1.7992219517031446e-17,1.0
Memb.AreaShape_MaxFeretDiameter,2.998703252838574e-16,1.0
Memb.AreaShape_MaximumRadius,5.997406505677148e-17,1.0
Memb.AreaShape_MeanRadius,8.996109758515723e-17,1.0
Memb.AreaShape_MedianRadius,7.796628457380294e-17,1.0
Memb.AreaShape_MinFeretDiameter,3.3585476431792035e-16,1.0
Memb.AreaShape_MinorAxisLength,-9.595850409083438e-17,1.0
Memb.AreaShape_NormalizedMoment_0_2,3.898314228690147e-17,1.0
Memb.AreaShape_NormalizedMoment_0_3,3.748379066048218e-18,1.0
Memb.AreaShape_NormalizedMoment_1_1,-1.424384045098323e-17,1.0
Memb.AreaShape_NormalizedMoment_1_2,-1.4993516264192871e-18,1.0
Memb.AreaShape_NormalizedMoment_1_3,-2.6238653462337527e-18,1.0
Memb.AreaShape_NormalizedMoment_2_0,1.2594553661922013e-16,1.0
Memb.AreaShape_NormalizedMoment_2_1,2.9987032528385742e-18,1.0
Memb.AreaShape_NormalizedMoment_2_2,1.1994813011354297e-17,0.9999999999999999
Memb.AreaShape_NormalizedMoment_2_3,0.0,1.0
Memb.AreaShape_NormalizedMoment_3_0,-6.747082318886792e-18,1.0
Memb.AreaShape_NormalizedMoment_3_1,4.8728927858626835e-18,1.0
Memb.AreaShape_NormalizedMoment_3_2,0.0,0.9999999999999999
Memb.AreaShape_NormalizedMoment_3_3,4.4980548792578616e-18,1.0
Memb.AreaShape_Orientation,-2.2115436489684485e-17,1.0000000000000002
Memb.AreaShape_Perimeter,1.4693645938909014e-16,1.0
Memb.AreaShape_Solidity,5.667549147864905e-16,1.0
Memb.AreaShape_SpatialMoment_0_0,-1.739247886646373e-16,1.0
Memb.AreaShape_SpatialMoment_0_1,-5.397665855109434e-17,1.0
Memb.AreaShape_SpatialMoment_0_2,1.7992219517031446e-17,0.9999999999999999
Memb.AreaShape_SpatialMoment_0_3,-5.9974065056771485e-18,1.0
Memb.AreaShape_SpatialMoment_1_0,-2.998703252838574e-17,1.0
Memb.AreaShape_SpatialMoment_1_1,2.9987032528385742e-18,0.9999999999999998
Memb.AreaShape_SpatialMoment_1_2,-5.9974065056771485e-18,1.0
Memb.AreaShape_SpatialMoment_1_3,2.9987032528385742e-18,1.0000000000000002
Memb.AreaShape_SpatialMoment_2_0,-2.3989626022708594e-17,1.0
Memb.AreaShape_SpatialMoment_2_1,-1.4993516264192871e-18,0.9999999999999999
Memb.AreaShape_SpatialMoment_2_2,1.1994813011354297e-17,1.0
Memb.AreaShape_SpatialMoment_2_3,-2.9987032528385742e-18,0.9999999999999998
Memb.AreaShape_Zernike_0_0,0.0,1.0
Memb.AreaShape_Zernike_1_1,1.1994813011354297e-17,0.9999999999999999
Memb.AreaShape_Zernike_2_0,5.397665855109434e-16,0.9999999999999999
Memb.AreaShape_Zernike_2_2,-4.22817158650239e-16,0.9999999999999999
Memb.AreaShape_Zernike_3_1,1.2669521243242977e-16,1.0
Memb.AreaShape_Zernike_3_3,2.5189107323844026e-16,1.0
Memb.AreaShape_Zernike_4_0,-4.348119716615933e-17,1.0
Memb.AreaShape_Zernike_4_2,1.1919845430033333e-16,1.0
Memb.AreaShape_Zernike_4_4,2.803787541404067e-16,0.9999999999999998
Memb.AreaShape_Zernike_5_1,5.5476010177513623e-17,0.9999999999999999
Memb.AreaShape_Zernike_5_3,-1.40939052883413e-16,1.0
Memb.AreaShape_Zernike_5_5,-2.338988537214088e-16,1.0000000000000002
Memb.AreaShape_Zernike_6_0,-1.499351626419287e-17,0.9999999999999999
Memb.AreaShape_Zernike_6_2,1.1245137198144653e-16,1.0
Memb.AreaShape_Zernike_6_4,-2.4589366673276307e-16,1.0
Memb.AreaShape_Zernike_6_6,4.1307137307851363e-16,1.0
Memb.AreaShape_Zernike_7_1,-2.998703252838574e-17,1.0
Memb.AreaShape_Zernike_7_3,2.2940079884215093e-16,0.9999999999999999
Memb.AreaShape_Zernike_7_5,-9.445915246441509e-17,1.0
Memb.AreaShape_Zernike_7_7,5.697536180393291e-17,1.0
Memb.AreaShape_Zernike_8_0,-1.4243840450983227e-16,1.0
Memb.AreaShape_Zernike_8_2,2.3989626022708593e-16,1.0
Memb.AreaShape_Zernike_8_4,3.1186513829521174e-16,1.0
Memb.AreaShape_Zernike_8_6,1.7692349191747588e-16,1.0
Memb.AreaShape_Zernike_8_8,4.498054879257861e-17,1.0
Memb.AreaShape_Zernike_9_1,-4.2731521352949686e-17,1.0
Memb.AreaShape_Zernike_9_3,3.298573578122432e-17,1.0
Memb.AreaShape_Zernike_9_5,4.423087297936897e-17,1.0
Memb.AreaShape_Zernike_9_7,3.2236059968014675e-17,1.0
Memb.AreaShape_Zernike_9_9,1.3869002544378407e-16,1.0
Memb.Parent_Cells,7.196887806812579e-17,1.0
Nue.AreaShape_Area,0.0,1.0
Nue.AreaShape_BoundingBoxArea,2.0391182119302305e-16,1.0
Nue.AreaShape_CentralMoment_0_0,0.0,1.0
Nue.AreaShape_CentralMoment_0_1,1.0870299291539832e-17,1.0
Nue.AreaShape_CentralMoment_0_2,-1.7992219517031446e-17,0.9999999999999999
Nue.AreaShape_CentralMoment_0_3,2.9987032528385742e-18,1.0
Nue.AreaShape_CentralMoment_1_0,-1.4993516264192871e-18,0.9999999999999999
Nue.AreaShape_CentralMoment_1_1,1.4993516264192871e-18,1.0000000000000002
Nue.AreaShape_CentralMoment_1_2,0.0,0.9999999999999999
Nue.AreaShape_CentralMoment_1_3,5.9974065056771485e-18,1.0
Nue.AreaShape_CentralMoment_2_0,-5.397665855109434e-17,1.0
Nue.AreaShape_CentralMoment_2_1,1.1994813011354297e-17,1.0
Nue.AreaShape_CentralMoment_2_2,4.1981845539740043e-17,0.9999999999999999
Nue.AreaShape_CentralMoment_2_3,-8.996109758515723e-18,1.0
Nue.AreaShape_Compactness,-3.02869028536696e-16,0.9999999999999999
Nue.AreaShape_ConvexArea,1.499351626419287e-16,1.0
Nue.AreaShape_Eccentricity,8.396369107948009e-17,1.0
Nue.AreaShape_EquivalentDiameter,-5.217743659939119e-16,0.9999999999999999
Nue.AreaShape_EulerNumber,,
Nue.AreaShape_Extent,2.8787551227250314e-16,1.0
Nue.AreaShape_FormFactor,2.6388588624979454e-16,1.0
Nue.AreaShape_HuMoment_0,1.9791441468734592e-16,1.0
Nue.AreaShape_HuMoment_1,1.0795331710218868e-16,1.0
Nue.AreaShape_HuMoment_2,4.498054879257861e-17,1.0
Nue.AreaShape_HuMoment_3,2.5488977649127882e-17,1.0
Nue.AreaShape_HuMoment_4,-7.496758132096435e-18,0.9999999999999999
