,Mean,Std Dev
Memb.AreaShape_Area,-0.003825314386812577,0.9710129530079641
Memb.AreaShape_BoundingBoxArea,-0.015321343748639752,0.8388293347798779
Memb.AreaShape_CentralMoment_0_0,-0.003825314386812577,0.9710129530079641
Memb.AreaShape_CentralMoment_0_1,-0.004193162779812182,0.9366901715866224
Memb.AreaShape_CentralMoment_0_2,-0.02332701592462326,0.5440805172985459
Memb.AreaShape_CentralMoment_0_3,-0.013001557161192171,0.5938428247299589
Memb.AreaShape_CentralMoment_1_0,-0.00789800392749883,0.9217007603176912
Memb.AreaShape_CentralMoment_1_1,0.005472098250363827,0.7378341534821818
Memb.AreaShape_CentralMoment_1_2,6.381042757560961e-11,1.0000000004268967
Memb.AreaShape_CentralMoment_1_3,0.007138704934572468,0.6914334784866186
Memb.AreaShape_CentralMoment_2_0,-0.01736897605682465,0.7299399734483978
Memb.AreaShape_CentralMoment_2_1,-0.015011372554450937,0.8283045369717918
Memb.AreaShape_CentralMoment_2_2,-0.018641656903725597,0.32627669836867407
Memb.AreaShape_CentralMoment_2_3,-0.007969660030399457,0.5469016563003946
Memb.AreaShape_Compactness,-0.0024140131622120155,0.9825768762109618
Memb.AreaShape_ConvexArea,-0.015924162546433633,0.8556806048251527
Memb.AreaShape_Eccentricity,-2.698832927554717e-17,1.0
Memb.AreaShape_EquivalentDiameter,3.879875418295076e-08,1.0000002930858711
Memb.AreaShape_EulerNumber,,
Memb.AreaShape_Extent,-6.297276830961006e-16,1.0
Memb.AreaShape_FormFactor,-1.0645396547576939e-16,1.0
Memb.AreaShape_HuMoment_0,-0.006032160213914914,0.9504386499143496
Memb.AreaShape_HuMoment_1,-0.013464127207234777,0.800214753030774
Memb.AreaShape_HuMoment_2,-0.018646478306178847,0.4071225043301825
Memb.AreaShape_HuMoment_3,-0.018661404036598123,0.37841693167930246
Memb.AreaShape_HuMoment_4,-0.013520827287572658,0.2476402086660222
Memb.AreaShape_HuMoment_5,-0.017570977148410168,0.28639722656943417
Memb.AreaShape_HuMoment_6,0.004086942034619592,0.5147824211217116
