,Mean,Std Dev
Memb.AreaShape_Area,-0.003825314386812223,0.9710129530079641
Memb.AreaShape_BoundingBoxArea,-0.015321343748639851,0.8388293347798779
Memb.AreaShape_CentralMoment_0_0,-0.003825314386812223,0.9710129530079641
Memb.AreaShape_CentralMoment_0_1,-0.004193162779812206,0.9366901715866224
Memb.AreaShape_CentralMoment_0_2,-0.023327015924623308,0.5440805172985459
Memb.AreaShape_CentralMoment_0_3,-0.01300155716119214,0.5938428247299589
Memb.AreaShape_CentralMoment_1_0,-0.007898003927498842,0.9217007603176912
Memb.AreaShape_CentralMoment_1_1,0.005472098250363871,0.7378341534821818
Memb.AreaShape_CentralMoment_1_2,6.381041857949985e-11,1.000000000426897
Memb.AreaShape_CentralMoment_1_3,0.007138704934572453,0.6914334784866186
Memb.AreaShape_CentralMoment_2_0,-0.017368976056824702,0.7299399734483978
Memb.AreaShape_CentralMoment_2_1,-0.01501137255445093,0.8283045369717916
Memb.AreaShape_CentralMoment_2_2,-0.01864165690372561,0.3262766983686741
Memb.AreaShape_CentralMoment_2_3,-0.007969660030399457,0.5469016563003946
Memb.AreaShape_Compactness,-0.0024140131622117844,0.9825768762109617
Memb.AreaShape_ConvexArea,-0.01592416254643367,0.8556806048251527
Memb.AreaShape_Eccentricity,-2.998703252838574e-17,1.0
Memb.AreaShape_EquivalentDiameter,3.879875417095595e-08,1.0000002930858711
Memb.AreaShape_EulerNumber,,
Memb.AreaShape_Extent,-1.1994813011354297e-17,1.0
Memb.AreaShape_FormFactor,1.0495461384935011e-17,1.0
Memb.AreaShape_HuMoment_0,-0.006032160213915112,0.9504386499143497
Memb.AreaShape_HuMoment_1,-0.013464127207234782,0.800214753030774
Memb.AreaShape_HuMoment_2,-0.018646478306178854,0.40712250433018254
Memb.AreaShape_HuMoment_3,-0.01866140403659815,0.37841693167930246
Memb.AreaShape_HuMoment_4,-0.013520827287572656,0.2476402086660222
Memb.AreaShape_HuMoment_5,-0.01757097714841019,0.28639722656943417
Memb.AreaShape_HuMoment_6,0.0040869420346196055,0.5147824211217117
Memb.AreaShape_InertiaTensorEigenvalues_0,-0.015901376777806193,0.8476967782468667
Memb.AreaShape_InertiaTensorEigenvalues_1,-0.008703922820904993,0.8984446832686878
Memb.AreaShape_InertiaTensor_0_0,-0.0188372992271115,0.7908116443485754
Memb.AreaShape_InertiaTensor_0_1,-0.010493889593095499,0.8827293072431671
Memb.AreaShape_InertiaTensor_1_0,-0.010493889593095499,0.8827293072431671
Memb.AreaShape_InertiaTensor_1_1,-0.010550534240731272,0.8943454087340522
Memb.AreaShape_MajorAxisLength,-0.0021547612528898382,0.9860787880235771
Memb.AreaShape_MaxFeretDiameter,-0.0012558158236386997,0.9920208300581214
Memb.AreaShape_MaximumRadius,-1.7992219517031446e-17,0.9999999999999996
Memb.AreaShape_MeanRadius,1.379403496305744e-16,1.0000000000000004
Memb.AreaShape_MedianRadius,-1.7992219517031445e-16,0.9999999999999993
Memb.AreaShape_MinFeretDiameter,-0.0047925335554528875,0.9681104323560062
Memb.AreaShape_MinorAxisLength,-0.0018710256048876238,0.9862723691969981
Memb.AreaShape_NormalizedMoment_0_2,-0.00958242576478255,0.923267337492788
Memb.AreaShape_NormalizedMoment_0_3,-0.012793752268234378,0.8795979051657176
Memb.AreaShape_NormalizedMoment_1_1,-0.002657648752259068,0.9821257123047601
Memb.AreaShape_NormalizedMoment_1_2,-0.002896031538328313,0.9676512449134823
Memb.AreaShape_NormalizedMoment_1_3,-0.012079391323421645,0.7844965714072997
Memb.AreaShape_NormalizedMoment_2_0,-0.004414899222340851,0.9578762729817578
Memb.AreaShape_NormalizedMoment_2_1,-0.014844338432002308,0.883754139898606
Memb.AreaShape_NormalizedMoment_2_2,-0.016390276894554717,0.6951000243211213
Memb.AreaShape_NormalizedMoment_2_3,0.0014776808693275987,0.40079047245151667
Memb.AreaShape_NormalizedMoment_3_0,-0.005167217097144057,0.9334378530987217
Memb.AreaShape_NormalizedMoment_3_1,-0.012864924773947205,0.8502254793882768
Memb.AreaShape_NormalizedMoment_3_2,0.008723414743628755,0.5157107091192995
Memb.AreaShape_NormalizedMoment_3_3,-0.014182918171582432,0.44921749897559565
Memb.AreaShape_Orientation,-1.5743192077402516e-17,0.9999999999999998
Memb.AreaShape_Perimeter,-0.004382644853647628,0.968923358225078
Memb.AreaShape_Solidity,0.0,1.0
Memb.AreaShape_SpatialMoment_0_0,-0.003825314386812223,0.9710129530079641
Memb.AreaShape_SpatialMoment_0_1,-0.018832912644928968,0.7867835763889994
Memb.AreaShape_SpatialMoment_0_2,-0.024837611712156205,0.5936157858807047
Memb.AreaShape_SpatialMoment_0_3,-0.025474887864684957,0.47713943321646746
Memb.AreaShape_SpatialMoment_1_0,-0.012650428132115593,0.8645511049481334
Memb.AreaShape_SpatialMoment_1_1,-0.01998034527570992,0.6741661663172124
Memb.AreaShape_SpatialMoment_1_2,-0.019080115813683376,0.5798610127825403
Memb.AreaShape_SpatialMoment_1_3,-0.018574614181053013,0.5275760655451724
Memb.AreaShape_SpatialMoment_2_0,-0.016296804295611093,0.7476896334814304
Memb.AreaShape_SpatialMoment_2_1,-0.02083244216945626,0.5915567445939262
Memb.AreaShape_SpatialMoment_2_2,-0.019848992772199234,0.5202680381421956
Memb.AreaShape_SpatialMoment_2_3,-0.018789785223429084,0.4921112814184421
Memb.AreaShape_Zernike_0_0,5.9974065056771485e-18,1.0
Memb.AreaShape_Zernike_1_1,3.298573578122432e-17,1.0000000000000002
Memb.AreaShape_Zernike_2_0,1.7992219517031446e-17,1.0
Memb.AreaShape_Zernike_2_2,8.996109758515723e-18,1.0
Memb.AreaShape_Zernike_3_1,-1.649286789061216e-17,0.9999999999999999
Memb.AreaShape_Zernike_3_3,-3.607440013164805e-15,0.9999999999999818
Memb.AreaShape_Zernike_4_0,-1.1994813011354297e-17,1.0
Memb.AreaShape_Zernike_4_2,-4.423087297936897e-17,1.0
Memb.AreaShape_Zernike_4_4,6.747082318886792e-18,1.0000000000000002
Memb.AreaShape_Zernike_5_1,4.947860367183648e-17,1.0
Memb.AreaShape_Zernike_5_3,5.466636029924721e-15,1.0000000000000289
Memb.AreaShape_Zernike_5_5,4.2602577113077625e-14,1.0000000000002274
Memb.AreaShape_Zernike_6_0,8.996109758515723e-18,1.0
Memb.AreaShape_Zernike_6_2,-3.8233466473691826e-17,1.0
Memb.AreaShape_Zernike_6_4,-3.148638415480503e-17,1.0
Memb.AreaShape_Zernike_6_6,-6.747082318886792e-17,0.9999999999999998
Memb.AreaShape_Zernike_7_1,-9.745785571725367e-18,1.0
Memb.AreaShape_Zernike_7_3,6.409728202942453e-17,1.0000000000000002
Memb.AreaShape_Zernike_7_5,-1.884684994409044e-15,0.999999999999991
Memb.AreaShape_Zernike_7_7,2.7063296856868135e-15,1.000000000000013
Memb.AreaShape_Zernike_8_0,2.848768090196646e-17,1.0
Memb.AreaShape_Zernike_8_2,8.996109758515723e-17,1.0000000000000002
Memb.AreaShape_Zernike_8_4,2.5249081388900796e-15,1.0000000000000122
Memb.AreaShape_Zernike_8_6,0.0,1.0
Memb.AreaShape_Zernike_8_8,9.295980083799581e-17,1.0000000000000002
Memb.AreaShape_Zernike_9_1,-2.2490274396289308e-18,1.0
Memb.AreaShape_Zernike_9_3,2.998703252838574e-17,1.0
Memb.AreaShape_Zernike_9_5,2.006507314055611e-14,1.000000000000109
Memb.AreaShape_Zernike_9_7,-4.26940375622892e-15,0.9999999999999787
Memb.AreaShape_Zernike_9_9,-9.285499615930909e-13,0.9999999999943098
Memb.Parent_Cells,-3.706397220508478e-15,0.9999999999999825
Nue.AreaShape_Area,5.9974065056771485e-18,1.0
Nue.AreaShape_BoundingBoxArea,-3.0616160470831275e-13,0.999999999998244
Nue.AreaShape_CentralMoment_0_0,5.9974065056771485e-18,1.0
Nue.AreaShape_CentralMoment_0_1,-0.0023484111312139034,0.9847099816348943
Nue.AreaShape_CentralMoment_0_2,-0.0010059841354945866,0.9934326322204226
Nue.AreaShape_CentralMoment_0_3,-0.008587228188106817,0.9256385553016947
Nue.AreaShape_CentralMoment_1_0,-0.0020074889794214927,0.9799708292284657
Nue.AreaShape_CentralMoment_1_1,-0.001041030644460443,0.9931331042993421
Nue.AreaShape_CentralMoment_1_2,-0.0062190517890240585,0.956172140435468
Nue.AreaShape_CentralMoment_1_3,-0.005982668828182825,0.9446654449075866
Nue.AreaShape_CentralMoment_2_0,-0.0021299915165622152,0.9832562368157621
Nue.AreaShape_CentralMoment_2_1,-0.0027141897744014805,0.9802676652217912
Nue.AreaShape_CentralMoment_2_2,-0.009481637103126574,0.905745302227402
Nue.AreaShape_CentralMoment_2_3,-0.009080683059155742,0.884026979299398
Nue.AreaShape_Compactness,-0.009023949478312851,0.9227480135754735
Nue.AreaShape_ConvexArea,1.1994813011354297e-17,1.0000000000000002
Nue.AreaShape_Eccentricity,-8.996109758515723e-18,1.0
Nue.AreaShape_EquivalentDiameter,-2.998703252838574e-17,1.0000000000000002
Nue.AreaShape_EulerNumber,,
Nue.AreaShape_Extent,1.7992219517031446e-17,1.0
Nue.AreaShape_FormFactor,5.9974065056771485e-18,1.0
Nue.AreaShape_HuMoment_0,1.0742184641003502e-06,1.0000088161495753
Nue.AreaShape_HuMoment_1,-0.004426519096496889,0.964209886756453
Nue.AreaShape_HuMoment_2,-0.021030315033248773,0.6890535865368219
Nue.AreaShape_HuMoment_3,-0.019317154135687145,0.5128475118057169
Nue.AreaShape_HuMoment_4,-0.01615970036375888,0.28659375320849456
Nue.AreaShape_HuMoment_5,-0.017617822736399027,0.39688664668633283
Nue.AreaShape_HuMoment_6,0.008567626286429037,0.5818517658972309
Nue.AreaShape_InertiaTensorEigenvalues_0,-2.5791019635307447e-10,0.9999999982363437
Nue.AreaShape_InertiaTensorEigenvalues_1,5.01023339484269e-14,1.000000000000269
Nue.AreaShape_InertiaTensor_0_0,2.6774019750695254e-09,1.0000000189746399
Nue.AreaShape_InertiaTensor_0_1,-7.605273706058532e-14,0.9999999999995812
Nue.AreaShape_InertiaTensor_1_0,-7.605273706058532e-14,0.9999999999995812
Nue.AreaShape_InertiaTensor_1_1,-0.0019473997025542785,0.9866982839427855
Nue.AreaShape_MajorAxisLength,5.63756211533652e-16,1.0000000000000024
