,Mean,Std Dev
Memb.AreaShape_Area,1.447401869140945e-16,1.0
Memb.AreaShape_BoundingBoxArea,-3.947459643111668e-17,0.9999999999999999
Memb.AreaShape_CentralMoment_0_0,1.447401869140945e-16,1.0
Memb.AreaShape_CentralMoment_0_1,-2.6316397620744452e-17,1.0
Memb.AreaShape_CentralMoment_0_2,-8.552829226741947e-17,1.0
Memb.AreaShape_CentralMoment_0_3,3.6185046728523623e-17,1.0
Memb.AreaShape_CentralMoment_1_0,-1.973729821555834e-17,1.0
Memb.AreaShape_CentralMoment_1_1,3.289549702593056e-17,1.0
Memb.AreaShape_CentralMoment_1_2,1.6447748512965283e-18,1.0000000000000002
Memb.AreaShape_CentralMoment_1_3,-1.644774851296528e-17,1.0
Memb.AreaShape_CentralMoment_2_0,-3.289549702593056e-17,1.0
Memb.AreaShape_CentralMoment_2_1,6.579099405186113e-18,0.9999999999999999
Memb.AreaShape_CentralMoment_2_2,-4.11193712824132e-18,1.0000000000000002
Memb.AreaShape_CentralMoment_2_3,-6.579099405186113e-18,1.0
Memb.AreaShape_Compactness,0.0,0.9999999999999999
Memb.AreaShape_ConvexArea,-5.2632795241488905e-17,0.9999999999999999
Memb.AreaShape_Eccentricity,-1.3158198810372225e-16,1.0000000000000002
Memb.AreaShape_EquivalentDiameter,7.894919286223336e-17,1.0
Memb.AreaShape_EulerNumber,,
Memb.AreaShape_Extent,1.5789838572446671e-16,1.0
Memb.AreaShape_FormFactor,-5.2632795241488905e-17,1.0
Memb.AreaShape_HuMoment_0,-6.579099405186112e-17,0.9999999999999998
Memb.AreaShape_HuMoment_1,1.3158198810372226e-17,1.0
Memb.AreaShape_HuMoment_2,0.0,1.0000000000000002
Memb.AreaShape_HuMoment_3,-3.947459643111668e-17,0.9999999999999999
Memb.AreaShape_HuMoment_4,-6.579099405186113e-18,0.9999999999999999
Memb.AreaShape_HuMoment_5,-1.3158198810372226e-17,1.0
Memb.AreaShape_HuMoment_6,1.3158198810372226e-17,1.0
Memb.AreaShape_InertiaTensorEigenvalues_0,-2.6316397620744452e-17,0.9999999999999999
Memb.AreaShape_InertiaTensorEigenvalues_1,0.0,0.9999999999999999
Memb.AreaShape_InertiaTensor_0_0,-2.6316397620744452e-17,1.0
Memb.AreaShape_InertiaTensor_0_1,-2.6316397620744452e-17,1.0
Memb.AreaShape_InertiaTensor_1_0,-2.6316397620744452e-17,1.0
Memb.AreaShape_InertiaTensor_1_1,-5.2632795241488905e-17,0.9999999999999999
Memb.AreaShape_MajorAxisLength,9.210739167260558e-17,1.0
Memb.AreaShape_MaxFeretDiameter,-2.3684757858670006e-16,1.0
Memb.AreaShape_MaximumRadius,2.1053118096595562e-16,1.0
Memb.AreaShape_MeanRadius,-7.631755310015891e-16,1.0
Memb.AreaShape_MedianRadius,-2.89480373828189e-16,0.9999999999999999
Memb.AreaShape_MinFeretDiameter,4.07904163121539e-16,0.9999999999999999
Memb.AreaShape_MinorAxisLength,-3.1579677144893343e-16,1.0
Memb.AreaShape_NormalizedMoment_0_2,-5.2632795241488905e-17,1.0
Memb.AreaShape_NormalizedMoment_0_3,1.3158198810372226e-17,1.0000000000000002
Memb.AreaShape_NormalizedMoment_1_1,1.644774851296528e-17,1.0
Memb.AreaShape_NormalizedMoment_1_2,3.947459643111668e-17,1.0
Memb.AreaShape_NormalizedMoment_1_3,1.1513423959075697e-17,1.0
Memb.AreaShape_NormalizedMoment_2_0,-6.579099405186112e-17,1.0
Memb.AreaShape_NormalizedMoment_2_1,-2.6316397620744452e-17,1.0
Memb.AreaShape_NormalizedMoment_2_2,1.0526559048297781e-16,1.0
Memb.AreaShape_NormalizedMoment_2_3,1.973729821555834e-17,1.0
Memb.AreaShape_NormalizedMoment_3_0,1.3158198810372226e-17,1.0
Memb.AreaShape_NormalizedMoment_3_1,-1.973729821555834e-17,0.9999999999999998
Memb.AreaShape_NormalizedMoment_3_2,-6.579099405186113e-18,1.0
Memb.AreaShape_NormalizedMoment_3_3,1.4802973661668754e-17,1.0
Memb.AreaShape_Orientation,3.782982157982015e-17,1.0
Memb.AreaShape_Perimeter,-1.1842378929335003e-16,1.0
Memb.AreaShape_Solidity,-1.1973960917438725e-15,1.0
Memb.AreaShape_SpatialMoment_0_0,1.447401869140945e-16,1.0
Memb.AreaShape_SpatialMoment_0_1,8.552829226741947e-17,1.0
Memb.AreaShape_SpatialMoment_0_2,5.921189464667501e-17,0.9999999999999998
Memb.AreaShape_SpatialMoment_0_3,-1.3158198810372226e-17,1.0
Memb.AreaShape_SpatialMoment_1_0,3.947459643111668e-17,0.9999999999999999
Memb.AreaShape_SpatialMoment_1_1,3.947459643111668e-17,1.0
Memb.AreaShape_SpatialMoment_1_2,1.644774851296528e-17,0.9999999999999999
Memb.AreaShape_SpatialMoment_1_3,1.8092523364261812e-17,0.9999999999999999
Memb.AreaShape_SpatialMoment_2_0,3.947459643111668e-17,1.0
Memb.AreaShape_SpatialMoment_2_1,1.973729821555834e-17,1.0
Memb.AreaShape_SpatialMoment_2_2,1.4802973661668754e-17,1.0
