,Mean,Std Dev
Memb.AreaShape_Area,7.894919286223336e-17,1.0000000000000002
Memb.AreaShape_BoundingBoxArea,3.981013050078117e-14,1.0000000000001972
Memb.AreaShape_CentralMoment_0_0,7.894919286223336e-17,1.0000000000000002
Memb.AreaShape_CentralMoment_0_1,-4.605369583630279e-17,1.0
Memb.AreaShape_CentralMoment_0_2,7.537016278581211e-13,1.0000000000039164
Memb.AreaShape_CentralMoment_0_3,-2.044784095131844e-14,0.9999999999999052
Memb.AreaShape_CentralMoment_1_0,9.305280825713083e-13,1.000000000004887
Memb.AreaShape_CentralMoment_1_1,6.447517417082391e-16,1.0000000000000024
Memb.AreaShape_CentralMoment_1_2,2.248407221722354e-14,1.0000000000001024
Memb.AreaShape_CentralMoment_1_3,6.093561869083378e-14,1.0000000000003022
Memb.AreaShape_CentralMoment_2_0,-1.3398842032593712e-07,0.9999990286693133
Memb.AreaShape_CentralMoment_2_1,3.289549702593056e-17,1.0
Memb.AreaShape_CentralMoment_2_2,2.496343543401525e-11,1.0000000001475258
Memb.AreaShape_CentralMoment_2_3,-2.123404333023818e-15,0.9999999999999917
Memb.AreaShape_Compactness,-6.131720645633457e-15,0.9999999999999742
Memb.AreaShape_ConvexArea,1.447401869140945e-16,1.0000000000000007
Memb.AreaShape_Eccentricity,-7.894919286223336e-17,1.0
Memb.AreaShape_EquivalentDiameter,6.579099405186113e-18,1.0000000000000002
Memb.AreaShape_EulerNumber,,
Memb.AreaShape_Extent,-3.947459643111668e-17,1.0
Memb.AreaShape_FormFactor,-7.894919286223336e-17,1.0
Memb.AreaShape_HuMoment_0,-1.3318728835858768e-12,0.9999999999928235
Memb.AreaShape_HuMoment_1,-3.5810069146962136e-06,0.9999719171489108
Memb.AreaShape_HuMoment_2,6.633477675632304e-07,1.0000050677827692
Memb.AreaShape_HuMoment_3,-7.783098722682182e-07,0.999994090361984
Memb.AreaShape_HuMoment_4,4.832151140127045e-13,1.0000000000025915
Memb.AreaShape_HuMoment_5,4.275538040482624e-09,1.0000000285369397
