Feature,PC1 Loading
Memb.AreaShape_MaxFeretDiameter,0.13637757156609812
Memb.AreaShape_MajorAxisLength,0.13516433207067233
Memb.AreaShape_Compactness,0.12991834696750462
Nue.AreaShape_MaxFeretDiameter,0.12911400537489431
Nue.AreaShape_MajorAxisLength,0.12857406836715757
Memb.AreaShape_InertiaTensorEigenvalues_0,0.12736875096582245
Memb.AreaShape_Perimeter,0.127142217972278
Memb.AreaShape_HuMoment_0,0.126995996272664
Nue.AreaShape_InertiaTensorEigenvalues_0,0.12619512892028376
Nue.AreaShape_HuMoment_0,0.12258090856847945
Nue.AreaShape_Compactness,0.11918573011184232
Memb.AreaShape_BoundingBoxArea,0.11696231053469486
Nue.AreaShape_Perimeter,0.11656659412021877
Nue.AreaShape_HuMoment_1,0.1157702286602891
Memb.AreaShape_SpatialMoment_1_1,0.11476650102304521
Nue.AreaShape_Zernike_8_8,0.11215293172488079
Nue.AreaShape_Zernike_6_4,0.10753325028026994
Nue.AreaShape_Eccentricity,0.10737528115963035
Memb.AreaShape_HuMoment_1,0.10457201105059678
Nue.AreaShape_Zernike_6_6,0.10451065651951832
Memb.AreaShape_SpatialMoment_2_1,0.10383539180201028
Nue.AreaShape_BoundingBoxArea,0.10337205292295808
Nue.AreaShape_Zernike_4_2,0.10273827828620895
Memb.AreaShape_SpatialMoment_1_2,0.10191748949185983
Memb.AreaShape_InertiaTensor_1_1,0.10076076467080787
Memb.AreaShape_SpatialMoment_1_0,0.0996934615165662
Memb.AreaShape_SpatialMoment_2_2,0.0995662897994841
Memb.AreaShape_ConvexArea,0.09951395688691746
Memb.AreaShape_CentralMoment_2_0,0.0992407633442514
Nue.AreaShape_CentralMoment_2_2,0.09773207752335134
Memb.AreaShape_SpatialMoment_2_0,0.09737718451563479
Memb.AreaShape_CentralMoment_2_2,0.09701093816181185
Memb.AreaShape_Eccentricity,0.09689353879526255
Memb.AreaShape_NormalizedMoment_2_0,0.09574001024629818
Nue.AreaShape_SpatialMoment_1_1,0.0947932477397668
Memb.AreaShape_SpatialMoment_0_1,0.09251320740221775
Memb.AreaShape_HuMoment_2,0.09209487450659705
Memb.AreaShape_NormalizedMoment_2_2,0.09182823637719432
Memb.AreaShape_SpatialMoment_0_2,0.09138202844414545
Nue.AreaShape_SpatialMoment_1_2,0.09078555735551751
Nue.AreaShape_NormalizedMoment_2_2,0.08888686083918695
Memb.AreaShape_HuMoment_3,0.08862863829234931
Nue.AreaShape_SpatialMoment_2_1,0.08850192592691697
Nue.AreaShape_SpatialMoment_2_2,0.08734283431785568
Memb.AreaShape_SpatialMoment_1_3,0.08601453965205237
Memb.AreaShape_SpatialMoment_0_3,0.08564033049356826
Memb.AreaShape_CentralMoment_0_2,0.08531261718977559
Nue.AreaShape_SpatialMoment_1_3,0.08445447685636565
Memb.AreaShape_InertiaTensor_0_0,0.08376558613605578
Nue.AreaShape_SpatialMoment_2_0,0.08260414920022491
Nue.AreaShape_SpatialMoment_1_0,0.08243952254715513
Memb.AreaShape_SpatialMoment_2_3,0.08184993868852311
Nue.AreaShape_SpatialMoment_2_3,0.08140208836833016
Memb.AreaShape_HuMoment_5,0.0809135064597868
Nue.AreaShape_CentralMoment_2_0,0.08090069347277389
Nue.AreaShape_InertiaTensor_1_1,0.08074675841786205
Nue.AreaShape_HuMoment_3,0.07996475592332578
Nue.AreaShape_Zernike_6_0,0.07973219817667723
