ImageNumber,ObjectNumber,Treatment,Prediction,EM_Score
8,3,M,E,0.0
8,4,M,M,1.0
8,7,M,E,0.0
8,9,M,E,0.0
8,10,M,E,0.0
8,11,M,E,0.0
8,12,M,E,0.0
8,13,M,E,0.0
8,14,M,E,0.0
8,15,M,E,0.0
8,16,M,E,0.0
8,17,M,E,0.0
8,18,M,E,0.0
8,19,M,E,0.0
8,20,M,M,1.0
8,21,M,E,0.0
8,22,M,E,0.0
8,23,M,E,0.0
8,24,M,M,1.0
8,25,M,E,0.0
8,26,M,E,0.0
8,27,M,E,0.0
8,28,M,E,0.0
8,30,M,E,0.0
8,31,M,E,0.0
8,32,M,E,0.0
8,33,M,M,1.0
8,34,M,E,0.0
8,35,M,E,0.0
8,36,M,M,1.0
8,37,M,M,1.0
8,40,M,E,0.0
8,41,M,E,0.0
8,42,M,E,0.0
8,43,M,E,0.0
8,44,M,E,0.0
8,45,M,E,0.0
8,46,M,E,0.0
8,48,M,E,0.0
8,50,M,E,0.0
8,51,M,M,1.0
8,52,M,E,0.0
8,53,M,E,0.0
8,55,M,E,0.0
8,56,M,E,0.0
8,57,M,E,0.0
8,58,M,E,0.0
8,61,M,M,1.0
8,62,M,E,0.0
8,63,M,M,1.0
8,64,M,E,0.0
8,65,M,E,0.0
8,66,M,M,1.0
8,67,M,E,0.0
8,68,M,E,0.0
8,69,M,E,0.0
8,70,M,E,0.0
8,71,M,E,0.0
8,72,M,E,0.0
8,73,M,E,0.0
8,74,M,E,0.0
8,75,M,E,0.0
8,76,M,E,0.0
8,77,M,E,0.0
8,78,M,E,0.0
8,79,M,E,0.0
8,80,M,E,0.0
8,82,M,E,0.0
8,83,M,E,0.0
8,84,M,M,1.0
8,85,M,E,0.0
8,88,M,M,1.0
8,89,M,E,0.0
8,90,M,E,0.0
8,91,M,E,0.0
8,92,M,M,1.0
8,94,M,E,0.0
8,95,M,E,0.0
8,96,M,E,0.0
8,97,M,E,0.0
8,98,M,E,0.0
8,99,M,E,0.0
8,101,M,M,1.0
8,102,M,E,0.0
8,103,M,M,1.0
8,104,M,E,0.0
8,105,M,E,0.0
8,107,M,E,0.0
8,108,M,E,0.0
8,109,M,E,0.0
8,110,M,E,0.0
8,111,M,E,0.0
8,112,M,E,0.0
8,113,M,E,0.0
8,114,M,E,0.0
8,115,M,E,0.0
8,116,M,E,0.0
8,117,M,M,1.0
8,118,M,M,1.0
8,119,M,E,0.0
8,120,M,E,0.0
8,121,M,E,0.0
8,122,M,E,0.0
8,123,M,E,0.0
8,125,M,E,0.0
8,127,M,E,0.0
8,128,M,E,0.0
8,129,M,E,0.0
8,130,M,E,0.0
8,131,M,E,0.0
8,133,M,E,0.0
8,134,M,E,0.0
8,136,M,E,0.0
8,137,M,M,1.0
8,138,M,E,0.0
8,139,M,E,0.0
8,140,M,E,0.0
8,141,M,E,0.0
8,142,M,E,0.0
8,143,M,E,0.0
8,144,M,E,0.0
8,145,M,E,0.0
8,146,M,E,0.0
8,147,M,E,0.0
8,148,M,E,0.0
8,149,M,E,0.0
8,150,M,E,0.0
8,151,M,E,0.0
8,152,M,E,0.0
8,153,M,E,0.0
8,155,M,M,1.0
8,158,M,E,0.0
8,159,M,E,0.0
8,160,M,E,0.0
8,161,M,E,0.0
8,162,M,M,1.0
8,163,M,E,0.0
8,164,M,E,0.0
8,165,M,E,0.0
8,166,M,M,1.0
8,167,M,E,0.0
9,1,M,M,1.0
9,2,M,E,0.0
9,3,M,E,0.0
9,4,M,E,0.0
9,6,M,E,0.0
9,7,M,E,0.0
9,8,M,M,1.0
9,9,M,M,1.0
9,10,M,E,0.0
9,11,M,E,0.0
9,12,M,M,1.0
9,13,M,M,1.0
9,15,M,E,0.0
9,16,M,M,1.0
9,17,M,E,0.0
9,19,M,E,0.0
9,20,M,E,0.0
9,21,M,M,1.0
9,22,M,E,0.0
9,24,M,M,1.0
9,25,M,M,1.0
9,26,M,E,0.0
9,28,M,E,0.0
9,31,M,E,0.0
9,32,M,E,0.0
9,33,M,E,0.0
9,34,M,E,0.0
9,35,M,E,0.0
9,36,M,E,0.0
9,37,M,M,1.0
9,38,M,E,0.0
9,39,M,E,0.0
9,40,M,E,0.0
9,41,M,E,0.0
9,43,M,E,0.0
9,45,M,E,0.0
9,46,M,E,0.0
9,47,M,E,0.0
9,48,M,M,1.0
9,50,M,E,0.0
9,51,M,E,0.0
9,52,M,E,0.0
9,53,M,E,0.0
9,54,M,E,0.0
9,55,M,E,0.0
9,56,M,E,0.0
9,57,M,E,0.0
9,59,M,E,0.0
9,60,M,E,0.0
9,61,M,E,0.0
9,62,M,E,0.0
9,63,M,M,1.0
9,68,M,E,0.0
9,69,M,E,0.0
9,71,M,E,0.0
9,74,M,E,0.0
9,78,M,E,0.0
9,82,M,E,0.0
9,84,M,E,0.0
9,86,M,E,0.0
9,88,M,M,1.0
9,89,M,E,0.0
9,90,M,E,0.0
9,91,M,E,0.0
9,92,M,E,0.0
9,94,M,E,0.0
9,95,M,E,0.0
9,96,M,E,0.0
9,99,M,M,1.0
9,100,M,E,0.0
9,101,M,E,0.0
9,103,M,E,0.0
9,106,M,E,0.0
9,107,M,M,1.0
9,108,M,E,0.0
9,109,M,E,0.0
9,110,M,M,1.0
9,111,M,M,1.0
9,112,M,M,1.0
9,114,M,E,0.0
10,2,M,M,1.0
10,3,M,E,0.0
10,4,M,E,0.0
10,7,M,M,1.0
10,9,M,M,1.0
10,10,M,E,0.0
10,12,M,E,0.0
10,13,M,M,1.0
10,16,M,E,0.0
10,19,M,E,0.0
10,21,M,E,0.0
10,23,M,E,0.0
10,24,M,E,0.0
10,25,M,E,0.0
10,26,M,E,0.0
10,27,M,E,0.0
10,28,M,E,0.0
10,29,M,M,1.0
10,30,M,E,0.0
10,31,M,E,0.0
10,32,M,E,0.0
10,33,M,E,0.0
10,35,M,E,0.0
10,36,M,M,1.0
10,37,M,E,0.0
10,38,M,E,0.0
10,39,M,E,0.0
10,40,M,E,0.0
10,41,M,E,0.0
10,43,M,E,0.0
10,44,M,E,0.0
10,46,M,E,0.0
10,47,M,E,0.0
10,49,M,M,1.0
10,50,M,E,0.0
10,53,M,E,0.0
10,54,M,E,0.0
10,55,M,M,1.0
10,58,M,M,1.0
10,59,M,E,0.0
10,60,M,E,0.0
10,61,M,E,0.0
10,62,M,M,1.0
10,63,M,E,0.0
10,64,M,E,0.0
