ImageNumber,ObjectNumber,Treatment,Prediction,EM_Score
8,3,M,E,0.17106372290216224
8,4,M,M,0.9950884386554152
8,7,M,E,0.1493312263075831
8,9,M,E,0.10934117756057893
8,10,M,E,0.2617666482609825
8,11,M,E,0.0018016773239288729
8,12,M,E,0.7327784329397575
8,13,M,E,0.07363711291468819
8,14,M,E,0.2174444960057357
8,15,M,E,0.13121176894471506
8,16,M,E,0.9999456716872079
8,17,M,E,0.0028288818127238133
8,18,M,E,0.9243357233089763
8,19,M,E,0.10453514530092683
8,20,M,M,0.9998271637614845
8,21,M,E,0.9999631504273829
8,22,M,E,0.15890044630589162
8,23,M,E,0.007428761803864123
8,24,M,M,0.10298501890507096
8,25,M,E,0.05786467346485185
8,26,M,E,0.017872249776688862
8,27,M,E,0.07396366073828067
8,28,M,E,0.006534436009850784
8,30,M,E,0.023942389875046124
8,31,M,E,0.004958723803428958
8,32,M,E,0.37889623147860263
8,33,M,M,0.9968462164911219
8,34,M,E,0.8000189518675642
8,35,M,E,0.026727297747397395
8,36,M,M,0.9175482024517158
8,37,M,M,0.9858562411593544
8,40,M,E,0.999819787681164
8,41,M,E,0.011862384339165132
8,42,M,E,0.731289027837707
8,43,M,E,0.020337111888273904
8,44,M,E,0.047594522462054346
8,45,M,E,0.09548279875205878
8,46,M,E,0.5324148012173141
8,48,M,E,0.35640561004341187
8,50,M,E,0.12438570576223293
8,51,M,M,0.7598943858117172
8,52,M,E,0.014183536205463853
8,53,M,E,0.031082264260560457
8,55,M,E,0.002259898672351198
8,56,M,E,0.05810957012264859
8,57,M,E,0.021885781346138312
8,58,M,E,0.0038877146081509905
8,61,M,M,0.9997291968918521
8,62,M,E,0.35065783495083486
8,63,M,M,0.9999868410734357
8,64,M,E,0.032309399022080486
8,65,M,E,0.4210108075567246
8,66,M,M,0.6970615603689975
8,67,M,E,0.013439816896925407
8,68,M,E,0.005044323593291121
8,69,M,E,0.006233892678061303
8,70,M,E,0.14461407271415933
8,71,M,E,0.08422636924621156
8,72,M,E,0.02238403395626816
8,73,M,E,0.9185956077829535
8,74,M,E,0.01866841214503314
8,75,M,E,0.008346277150164758
8,76,M,E,0.06590630502998578
8,77,M,E,0.09277358097007792
8,78,M,E,0.9972649109806824
8,79,M,E,0.0053852580550861695
8,80,M,E,0.8722592892544232
8,82,M,E,0.23238728801523031
8,83,M,E,0.42136791012415076
8,84,M,M,0.9935737196349814
8,85,M,E,0.06314141028999715
8,88,M,M,0.5203540745289047
8,89,M,E,0.11137756543205814
8,90,M,E,0.9626640467055462
8,91,M,E,0.00564044433572308
8,92,M,M,0.9999652047390132
8,94,M,E,0.0420941916274807
8,95,M,E,0.037963624645241355
8,96,M,E,0.30390885647461857
8,97,M,E,0.12421339307072257
8,98,M,E,0.09423128321607706
8,99,M,E,0.08398965738153744
8,101,M,M,0.31979791385671136
8,102,M,E,0.004896919346877015
8,103,M,M,0.9537154369919905
8,104,M,E,0.015249589904109184
8,105,M,E,0.0928500709273099
8,107,M,E,0.009010512370326644
8,108,M,E,0.009393675632228598
8,109,M,E,0.001933569980100362
8,110,M,E,0.03537210379681897
8,111,M,E,0.006312863618449933
8,112,M,E,0.33027713017356886
8,113,M,E,0.005553213963231247
8,114,M,E,0.21588206544502725
8,115,M,E,0.9994618505102126
8,116,M,E,0.07249182901607142
8,117,M,M,0.9999615237938978
8,118,M,M,0.9999652399421767
8,119,M,E,0.04517750322749487
8,120,M,E,0.9890552371610097
8,121,M,E,0.00611625794164817
8,122,M,E,0.07116246732878721
8,123,M,E,0.008136750308043821
8,125,M,E,0.5009156441344349
8,127,M,E,0.0017260702311880525
8,128,M,E,0.019265188589982295
8,129,M,E,0.0745402619575114
8,130,M,E,0.14127078513295402
8,131,M,E,0.011776181552110155
8,133,M,E,0.48504496970056565
8,134,M,E,0.9947773760413711
8,136,M,E,0.007423428981182986
8,137,M,M,0.7212268598867283
8,138,M,E,0.00557764756149977
8,139,M,E,0.525201273472461
8,140,M,E,0.12104347007350921
8,141,M,E,0.0013497258873826899
8,142,M,E,0.09494149960584822
8,143,M,E,0.007453511481891138
8,144,M,E,0.09026672903920503
8,145,M,E,0.025642588931692294
8,146,M,E,0.00855802101751354
8,147,M,E,0.011667506385516653
8,148,M,E,0.004978616837334657
8,149,M,E,0.011647399426845489
8,150,M,E,0.015116548894562655
8,151,M,E,0.00183698104893955
8,152,M,E,0.01060388813924935
8,153,M,E,0.8088843437901282
8,155,M,M,0.41813972771038366
8,158,M,E,0.0033726804079626006
8,159,M,E,0.1517964490739255
8,160,M,E,0.9869064264249262
8,161,M,E,0.11495940997709778
8,162,M,M,0.9974508201807403
8,163,M,E,0.089169784779118
8,164,M,E,0.008613567892589012
8,165,M,E,0.003738459392748501
8,166,M,M,0.9365440769521893
8,167,M,E,0.021554922669781353
9,1,M,M,0.9987992727366659
9,2,M,E,0.5815249381808418
9,3,M,E,0.33153855692539425
9,4,M,E,0.09115081214928673
9,6,M,E,0.9789203674052026
9,7,M,E,0.12205964460296889
9,8,M,M,0.9998438261396985
9,9,M,M,0.9999993368619943
9,10,M,E,0.013975913035131014
9,11,M,E,0.4967688166190607
9,12,M,M,0.5657628602844751
9,13,M,M,0.7417038324102493
9,15,M,E,0.9813927095382498
9,16,M,M,0.9999969799433314
9,17,M,E,0.08690719125834082
9,19,M,E,0.0028628977207402436
9,20,M,E,0.960295553703561
9,21,M,M,0.242042391333747
9,22,M,E,0.018000929446805404
9,24,M,M,0.9927722734226074
9,25,M,M,0.9999961732184013
9,26,M,E,0.005516343739862526
9,28,M,E,0.0054874327413237224
9,31,M,E,0.0007241556836740163
9,32,M,E,0.08318435980319286
9,33,M,E,0.12547008294301687
9,34,M,E,0.20394848717714714
9,35,M,E,0.6835747965789024
9,36,M,E,0.2498757104896574
9,37,M,M,0.9837882787422765
9,38,M,E,0.15556400257032735
9,39,M,E,0.022325096574886964
9,40,M,E,0.1793716045002097
9,41,M,E,0.03407182295201272
9,43,M,E,0.029865163383979848
9,45,M,E,0.045947426904338624
9,46,M,E,0.5460204286031163
9,47,M,E,0.011240943857166067
9,48,M,M,0.6838459239314348
9,50,M,E,0.02070983372693894
9,51,M,E,0.01162936346367237
9,52,M,E,0.9511004354747696
9,53,M,E,0.6227448551565524
9,54,M,E,0.0530483889565449
9,55,M,E,0.276955010437084
9,56,M,E,0.5383307075603222
9,57,M,E,0.8438661020621848
9,59,M,E,0.021268536515302822
9,60,M,E,0.43869772653918965
9,61,M,E,0.10167981767318622
9,62,M,E,0.22095917639007262
9,63,M,M,0.21207264720166033
9,68,M,E,0.07791728902889672
9,69,M,E,0.01327571028945813
9,71,M,E,0.06376300625829946
