Feature,PC1 Loading
Nue.AreaShape_MaxFeretDiameter,0.16834201080000616
Nue.AreaShape_InertiaTensorEigenvalues_0,0.16830155964178684
Nue.AreaShape_MajorAxisLength,0.16723821217538748
Nue.AreaShape_BoundingBoxArea,0.1623011125909809
Nue.AreaShape_Perimeter,0.15903501833046355
Nue.AreaShape_SpatialMoment_1_1,0.15610999530707764
Nue.AreaShape_SpatialMoment_1_2,0.14713028357742897
Nue.AreaShape_ConvexArea,0.14689911205213232
Nue.AreaShape_SpatialMoment_0_1,0.14663301608024298
Nue.AreaShape_SpatialMoment_1_0,0.1442875529873918
Nue.AreaShape_CentralMoment_0_0,0.1428821273879515
Nue.AreaShape_Area,0.1428821273879515
Nue.AreaShape_SpatialMoment_0_0,0.1428821273879515
Nue.AreaShape_SpatialMoment_2_1,0.1423280774669026
Nue.AreaShape_SpatialMoment_0_2,0.139030357091625
Memb.AreaShape_MaxFeretDiameter,0.13784418208693872
Nue.AreaShape_EquivalentDiameter,0.13687763519543333
Nue.AreaShape_CentralMoment_0_2,0.13574685601552913
Memb.AreaShape_MajorAxisLength,0.1356788767557602
Nue.AreaShape_SpatialMoment_1_3,0.13451770827367707
Nue.AreaShape_SpatialMoment_2_0,0.13382828093580976
Nue.AreaShape_SpatialMoment_2_2,0.1329996556502075
Nue.AreaShape_CentralMoment_2_2,0.13248894796695249
Memb.AreaShape_Perimeter,0.13166124915391628
Nue.AreaShape_CentralMoment_2_0,0.13076648347826458
Nue.AreaShape_SpatialMoment_0_3,0.12574865679759434
Memb.AreaShape_EquivalentDiameter,0.12540742787784054
Nue.AreaShape_SpatialMoment_2_3,0.12156289605757185
Nue.AreaShape_InertiaTensor_0_0,0.12101150513020223
Memb.AreaShape_CentralMoment_0_0,0.12014565311217651
Memb.AreaShape_SpatialMoment_0_0,0.12014565311217648
Memb.AreaShape_Area,0.12014565311217645
Nue.AreaShape_InertiaTensor_1_1,0.11382136059353724
Memb.AreaShape_BoundingBoxArea,0.11074493967168797
Memb.AreaShape_ConvexArea,0.11014364404017865
Memb.AreaShape_InertiaTensorEigenvalues_0,0.10740905712279876
Nue.AreaShape_HuMoment_0,0.10449418393791003
Memb.AreaShape_Compactness,0.10407663810314012
Memb.AreaShape_SpatialMoment_1_0,0.10359170104682361
Nue.AreaShape_HuMoment_1,0.09517897827956562
Memb.AreaShape_SpatialMoment_0_1,0.09482097736433727
Memb.AreaShape_HuMoment_0,0.09406413490031015
Nue.AreaShape_Zernike_4_2,0.0934685630891525
Nue.AreaShape_Eccentricity,0.09157678933869572
Memb.AreaShape_InertiaTensor_1_1,0.0910655226584602
Nue.AreaShape_NormalizedMoment_2_2,0.0847985800630728
Nue.AreaShape_Zernike_6_6,0.08409238517902876
Memb.AreaShape_Eccentricity,0.08279164915083867
Memb.AreaShape_InertiaTensor_0_0,0.0795621793740495
Memb.AreaShape_SpatialMoment_1_1,0.07823032382465933
Nue.AreaShape_Zernike_4_4,0.07642562736437652
Memb.AreaShape_SpatialMoment_2_0,0.07506306842682414
Nue.AreaShape_Zernike_6_4,0.07478367289454113
