ImageNumber,ObjectNumber,BaseFile,Prediction,EM_Score
8,3,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,4,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,7,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,9,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,10,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,11,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,12,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,13,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,14,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,15,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,16,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,17,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,18,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,19,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,20,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,1.0
8,21,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,22,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,23,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,24,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,25,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,26,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,27,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,28,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,30,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,31,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
8,32,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0
