ImageNumber,ObjectNumber,BaseFile,Prediction,EM_Score
8,3,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.13710485098020606
8,4,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.8034090384398682
8,7,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.15491757941225232
8,9,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.11030049118222864
8,10,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.26070000514759145
8,11,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.005725644834922998
8,12,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.6722887006806464
8,13,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.06434049756915419
8,14,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.09404542201207937
8,15,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.2016157463027328
8,16,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9963247580183252
8,17,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.003548225472584782
8,18,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9024247364097417
8,19,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.051549881397609916
8,20,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.999645459660488
8,21,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9997299704374366
8,22,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.08727289153108476
8,23,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.02117162237793249
8,24,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0673798635805473
8,25,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.049478416013080284
8,26,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.019470153620016573
8,27,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.07061121641665781
8,28,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.016223088434066925
8,30,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.011434835296944586
8,31,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0015970934087811705
8,32,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.1262283709875342
8,33,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9442749130136736
8,34,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.3951002060481018
8,35,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.029905924201420162
8,36,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.897717381635519
8,37,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9896384800425742
8,40,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9879822598350889
8,41,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.009186323106476107
8,42,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.49884591573811515
8,43,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.04312644873803867
8,44,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.13434139775555357
8,45,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.05566872131481205
8,46,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.318532599936762
8,48,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.019675682765244503
8,50,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.17779934023929025
8,51,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.09937840799168077
8,52,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0020284333391467715
8,53,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.08464836794731755
8,55,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0013614584275926404
8,56,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.16302953577158114
8,57,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.019821719228066484
8,58,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.003944163961904626
8,61,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9991415969138551
8,62,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.13552959254797842
8,63,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9987642063688501
8,64,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.019534345944378216
8,65,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.3489397325541175
8,66,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.6445894985286508
8,67,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00660278016681001
8,68,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.013040689965122282
8,69,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.014487623220646163
8,70,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.28380132493932647
8,71,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.03560437154640181
8,72,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.03285743227156102
8,73,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.8244430853207596
8,74,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00610113700946839
8,75,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.027566395225597968
8,76,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00543070570186328
8,77,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.006627189671373683
8,78,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9800778385903673
8,79,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.023662778798525623
8,80,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9651357272950805
8,82,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.14088018331087046
8,83,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.07992131709583003
8,84,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9717692142050434
8,85,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.014013177496363424
8,88,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.3518870174593941
8,89,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.11731600433296746
8,90,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9805437988258646
8,91,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.012082878263668263
8,92,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9998637885054403
8,94,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.033727091212414184
8,95,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.010275180809748945
8,96,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.02629288098948986
8,97,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.006208751551205618
8,98,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.12125584969066706
8,99,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.024953035767608614
8,101,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.1333193035285655
8,102,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.013466012782906395
8,103,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9057278656731597
8,104,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.005077155999425005
8,105,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.14843092061927254
8,107,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.006127013432309659
8,108,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0056335170193962765
8,109,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00601681007444322
8,110,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.27455140832658875
8,111,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.006556783196178045
8,112,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.3861268356345401
8,113,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0015505807826514599
8,114,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.29584288143391785
8,115,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9988689714631867
8,116,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.033721182946497855
8,117,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9998103208634513
8,118,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9999758198705989
8,119,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.10859359370854402
8,120,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.976848835286547
8,121,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.013712869837053594
8,122,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.052974111712068825
8,123,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.006963567288658869
8,125,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.1296054030661746
8,127,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0030093048579620924
8,128,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.012244282396462313
8,129,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.055966658700875596
8,130,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.10767442133688195
8,131,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.004722946967389842
8,133,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.3209539917768944
8,134,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.4227872117405293
8,136,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.002673122170602436
8,137,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.33377346170696914
8,138,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0037367363352483855
8,139,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.1682897428106743
8,140,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.011741724324943628
8,141,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0025972435974104023
8,142,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.09001652077526151
8,143,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.014876480516317857
8,144,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.009662407515993676
8,145,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.04364433460113721
8,146,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.001985444296219948
8,147,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0030868557942877965
8,148,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0017385863269301937
8,149,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.026452432918826353
8,150,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00537777796794979
8,151,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.002245411070210937
8,152,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.016156176377485298
8,153,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.2624756511327037
8,155,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.25846683696687867
8,158,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.004609670285849561
8,159,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.04186808640484238
8,160,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9599097622129757
8,161,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.01899601398337309
8,162,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9932213341737036
8,163,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.14781974156672467
8,164,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.018415641136160937
8,165,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.007859058463133053
8,166,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.41237271878459086
8,167,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.01762367190841577
9,1,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9789704485597229
9,2,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.4243571571371115
9,3,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.10504185783191672
9,4,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.08964989274291564
9,6,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9692493245553513
9,7,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.054165915815546195
9,8,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9900116505072118
9,9,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9999908673318247
9,10,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.015996426780457026
9,11,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.34151769705203544
9,12,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.21179430641895752
9,13,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.3464718562613851
9,15,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.5215667159675776
9,16,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9999662869214957
9,17,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.16036464029652672
9,19,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.001302369226478675
9,20,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.8731982030125235
9,21,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.372971839690945
9,22,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.014035840834409329
9,24,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.987737462052787
9,25,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9999718553363515
