ImageNumber,ObjectNumber,Base File,Prediction,EM_Score
1,1,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9995216194281286
1,3,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9999989984834715
1,4,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9999901516269588
1,8,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9919120041410391
1,11,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9838843524405736
1,12,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.995322149889869
1,17,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9555326584970482
1,22,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9773702253877953
1,26,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9986611576974223
1,30,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9997280453778724
1,34,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9163953663884457
1,35,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9789552223170737
1,37,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9999999411187431
2,1,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9997420907027416
2,5,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9988682938369363
2,8,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9944980873445133
2,9,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.996300077209791
2,12,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9281773982727208
2,13,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9755239622697832
2,19,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9944509402405963
2,20,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9681322442656112
2,21,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9302889345487781
3,2,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9999566628570622
3,15,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9531457506258483
3,16,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9999999999766254
3,21,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.999681004842163
3,26,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9999999996160902
3,29,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9999992063302157
4,1,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9960972498704297
4,2,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.999871738890782
4,7,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9989449020541761
4,11,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.999865921397427
4,15,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9999999730566641
4,26,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.999187567204061
4,27,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9999976466396742
4,30,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9959630511214739
4,38,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9999988074506834
5,3,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9973887339954074
5,8,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9999449400402541
5,9,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9992978370474594
5,10,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9981138431864729
5,11,MyExpt_FilteredCells_with_annotation_additional_corresponding_cell.csv,M,0.9999998580722557
1,3,E_memb.csv,E,0.005508653924067082
1,4,E_memb.csv,E,0.0015971112810894265
1,5,E_memb.csv,E,0.007402979577040397
1,6,E_memb.csv,E,0.003177022360276976
1,7,E_memb.csv,E,0.0002081686105966649
1,10,E_memb.csv,E,0.0073401031803449574
1,11,E_memb.csv,E,0.008701096219756663
1,14,E_memb.csv,E,7.486239989679938e-05
1,25,E_memb.csv,E,0.003340946166280986
1,31,E_memb.csv,E,0.0006533454956075344
