ImageNumber,ObjectNumber_x,EM_Score,Predicted_Annotation,Treatment
1,4,0.9861411754116715,M,M
1,7,0.999787151202522,M,M
1,8,0.9999935787056231,M,M
1,12,0.9995146678776426,M,M
1,15,0.9966191351873495,M,M
1,16,0.8483343654264982,M,M
1,21,0.9123726802780923,M,M
1,24,0.9999816212900812,M,M
1,27,0.9789866473190134,M,M
1,31,0.989594904516901,M,M
1,36,0.7135239100420961,M,M
1,37,0.9664234096331729,M,M
1,39,0.9999999354543294,M,M
2,1,0.9980590319320851,M,M
2,5,0.9955450520742358,M,M
2,8,0.9730061070086986,M,M
2,9,0.9982341798903491,M,M
2,12,0.8127326335239222,M,M
2,13,0.9956369599992936,M,M
2,19,0.9952683026204431,M,M
2,20,0.8814602412572355,M,M
2,21,0.9963384098401142,M,M
3,2,0.9997392345277234,M,M
3,15,0.9835170119758674,M,M
3,16,0.9999999759411174,M,M
3,21,0.9942041482391513,M,M
3,27,0.9999999976768463,M,M
3,30,0.9999982143708016,M,M
4,1,0.9902363897027713,M,M
4,3,0.9786524907127512,M,M
4,8,0.9915681312475683,M,M
4,11,0.9852588254073366,M,M
4,15,0.9998197057480791,M,M
4,26,0.9965326065274001,M,M
4,27,0.9999194053169359,M,M
4,30,0.8800824135153243,M,M
4,38,0.9986653685516329,M,M
5,3,0.9631972341565305,M,M
5,8,0.999936856636401,M,M
5,9,0.9995371899440746,M,M
5,10,0.9952017760834606,M,M
5,11,0.9999498669892173,M,M
1,3,0.001522483313722843,E,E
1,4,0.00013447095643970394,E,E
1,5,0.0006551554061380012,E,E
1,6,0.01267439706493866,E,E
1,7,2.5081821947416843e-05,E,E
1,10,0.0191522575147544,E,E
1,11,0.0001516187538684306,E,E
1,14,4.1458684879049816e-05,E,E
1,22,0.002362038333689708,E,E
1,28,0.019512823714143524,E,E
1,29,5.3084661771896595e-05,E,E
1,31,0.001622679613265405,E,E
1,32,0.012394102269754348,E,E
1,33,0.04577825824787222,E,E
1,34,0.00533274004587022,E,E
2,3,0.004600328867983396,E,E
2,14,0.00409376111115671,E,E
2,21,0.0018670594758007956,E,E
2,22,0.0188731814819839,E,E
2,26,0.03059988520118054,E,E
2,32,0.0004729893010636417,E,E
2,33,0.00017590141843842536,E,E
2,34,0.00017594577257943648,E,E
2,38,0.00327987377315437,E,E
2,39,0.010769031237387296,E,E
2,41,0.0009067895016320363,E,E
2,42,0.003763509939887559,E,E
2,43,0.0004304241697460654,E,E
3,1,0.01421042739687903,E,E
3,3,6.659907598811077e-05,E,E
3,5,0.0005895295961421601,E,E
3,6,0.00044688095489455614,E,E
3,7,0.00362384802832945,E,E
3,8,2.7600815317414185e-05,E,E
3,9,0.00043729937538537647,E,E
3,10,0.023267057877745915,E,E
3,11,0.6209748304778063,M,E
3,12,9.775793205506105e-05,E,E
3,14,0.0004217790470621607,E,E
3,15,1.4000824776363837e-05,E,E
3,17,0.09678242592067453,E,E
3,18,9.430812498764875e-05,E,E
3,19,0.4013485423191037,E,E
3,22,0.010679235652655647,E,E
3,23,0.00011507494867097605,E,E
3,24,0.008988866197432476,E,E
3,25,0.08223837352353561,E,E
3,26,0.03781100383501163,E,E
3,30,0.0003968131169256712,E,E
3,31,0.00016559757446851764,E,E
4,1,0.0018359049506638516,E,E
4,7,0.0007660559939491676,E,E
4,8,0.004371092163703058,E,E
4,10,0.0022790930653338246,E,E
4,20,0.013242675055750892,E,E
4,24,0.008409648777927648,E,E
4,27,0.010231904433282162,E,E
4,37,0.0880473357136909,E,E
4,38,0.052266056606662524,E,E
4,42,0.030713362950058172,E,E
4,43,0.0063505785677900614,E,E
4,46,0.00035280613461964144,E,E
4,47,0.001013322189005621,E,E
4,57,5.6196375658285256e-05,E,E
4,61,0.0007413275735871952,E,E
4,64,0.000754207633563477,E,E
4,70,0.06881598309027193,E,E
5,2,0.9982419624008082,M,M
5,3,0.9999745856236294,M,M
5,10,0.9902043741479122,M,M
5,11,0.9991644944664843,M,M
5,12,0.9890979571583078,M,M
5,13,0.9974494676075754,M,M
5,14,0.9999999998805815,M,M
6,2,0.9691437632241057,M,M
6,3,0.9999505064267367,M,M
6,14,0.9979105530552767,M,M
6,20,0.9847773693891908,M,M
6,21,0.9503796193914908,M,M
7,14,0.9999999781708264,M,M
7,17,0.999778727863963,M,M
8,2,0.9986924264069476,M,M
8,3,0.952479186585276,M,M
8,5,0.9968737760724491,M,M
8,12,0.9869394836253741,M,M
8,15,0.9999999616040581,M,M
8,16,0.9962320886455349,M,M
8,17,0.936789785852996,M,M
8,18,0.9790062807864941,M,M
8,21,0.9987914845430458,M,M
8,26,0.8967399312561517,M,M
8,44,0.9981446552729991,M,M
8,48,0.9999980725340872,M,M
