ImageNumber,ObjectNumber,EM_Score,Predicted_Annotation,Treatment
8,3,0.027104050403668853,E,M
8,4,0.06116965177414436,E,M
8,7,0.03709435625196436,E,M
8,9,0.00046579729259288254,E,M
8,10,0.00020169484118420745,E,M
8,11,8.919371678404092e-06,E,M
8,12,0.24742380606016884,E,M
8,13,0.010329789031272464,E,M
8,14,0.0078051285058917865,E,M
8,15,0.011454396479984632,E,M
8,16,0.005003860180880595,E,M
8,17,0.00024243142553270517,E,M
8,18,0.0008305230255821797,E,M
8,19,0.003525747478523394,E,M
8,20,0.9213677659847446,M,M
8,21,0.999905500061939,M,M
8,22,0.010069118623669795,E,M
8,23,0.0002740606700630067,E,M
8,24,0.01158539045036902,E,M
8,25,0.07898329085912482,E,M
8,26,0.0004682450930174715,E,M
8,27,0.005846127050643901,E,M
8,28,0.003260116427651542,E,M
8,30,0.007320194321172902,E,M
8,31,0.003078743557125784,E,M
8,32,0.3331390877830303,E,M
8,33,0.043024376620519576,E,M
8,34,0.13819368196129495,E,M
8,35,0.0008151387222472222,E,M
8,36,0.8239167223314254,M,M
8,37,0.6503522866926943,M,M
8,40,0.0917972082448726,E,M
8,41,0.004638493334985289,E,M
8,42,0.15106789146980443,E,M
8,43,0.00421672561618243,E,M
8,44,0.019319164036542248,E,M
8,45,0.05958178718399541,E,M
8,46,0.0047160608763553175,E,M
8,48,0.0004320824591735051,E,M
8,50,0.0014233027201569594,E,M
8,51,0.008480815007029144,E,M
8,52,4.1598406121493135e-05,E,M
8,53,0.007046104828870006,E,M
8,55,0.00019923722240731758,E,M
8,56,0.007261588250460951,E,M
8,57,0.00043956572922447014,E,M
8,58,0.008427489353503001,E,M
8,61,0.9472359536127789,M,M
8,62,0.04890468852166054,E,M
8,63,0.983919229407151,M,M
8,64,0.007265547222591381,E,M
8,65,0.03298511553336595,E,M
8,66,0.9511535565107047,M,M
8,67,0.00014477605981372835,E,M
8,68,6.978940570876444e-05,E,M
8,69,2.1108187868177566e-05,E,M
8,70,0.021217286080505403,E,M
8,71,0.04806697765636424,E,M
8,72,0.005015854789778093,E,M
8,73,0.9155345886411255,M,M
8,74,0.0003168165259729203,E,M
8,75,5.105293983297077e-05,E,M
8,76,0.010527811954299743,E,M
8,77,0.004479360643220738,E,M
8,78,0.19912835137209506,E,M
8,79,0.001118792828623462,E,M
8,80,0.29504298998849343,E,M
8,82,0.01650127668231061,E,M
8,83,0.003703670454814709,E,M
8,84,0.8627703813850438,M,M
8,85,0.013876789936111413,E,M
8,88,0.01880286471153486,E,M
8,89,0.00411748635578943,E,M
8,90,0.8610718278960363,M,M
8,91,0.0317408879939463,E,M
8,92,0.9998582000889736,M,M
8,94,0.009546508035522335,E,M
8,95,0.00013204868075963124,E,M
8,96,0.13873546599600659,E,M
8,97,0.0006227870752922773,E,M
8,98,0.0023266760908484466,E,M
8,99,0.003500454008761668,E,M
8,101,0.11675037994952202,E,M
8,102,0.00023919599444300455,E,M
8,103,0.6409982188717451,M,M
8,104,0.001864787384880152,E,M
8,105,0.08387059681576362,E,M
8,107,0.011958503080630343,E,M
8,108,0.0005648957294915989,E,M
8,109,0.009491582530880094,E,M
8,110,0.03743857344501463,E,M
8,111,0.046429584302080086,E,M
8,112,0.001994949802640625,E,M
8,113,0.0003410174638512655,E,M
8,114,0.008668857430174442,E,M
8,115,0.9943216976737758,M,M
8,116,0.00046600772442376625,E,M
8,117,0.9949479101790895,M,M
8,118,0.9990760586756614,M,M
8,119,0.2026350903494889,E,M
8,120,0.008990480652437705,E,M
8,121,0.0010118369690968756,E,M
8,122,0.03007842889969729,E,M
8,123,0.012622474099819361,E,M
8,125,0.251046815235896,E,M
8,127,2.1037094743039862e-05,E,M
8,128,0.002409657772793873,E,M
8,129,0.3743748501206064,E,M
8,130,0.00181887955057809,E,M
8,131,0.0015464976314158397,E,M
8,133,0.07387370466734448,E,M
8,134,0.006193150900774539,E,M
8,136,0.0053998322933503035,E,M
8,137,0.14075149288791075,E,M
8,138,0.0064212265901328735,E,M
8,139,0.07045140131556848,E,M
8,140,0.0526836070804408,E,M
8,141,0.022860897577146887,E,M
8,142,0.04275261734218094,E,M
8,143,0.004260267013937172,E,M
8,144,0.10472113985065909,E,M
8,145,0.03984329245239471,E,M
8,146,0.0024251858090335024,E,M
8,147,0.0005959408686101851,E,M
8,148,0.0007379681386160017,E,M
8,149,0.009912856265656852,E,M
8,150,0.0805344227163722,E,M
8,151,0.0002237565538369884,E,M
8,152,0.013317601834478637,E,M
8,153,0.03391709528302794,E,M
8,155,0.06346822855243572,E,M
8,158,0.005183496652772039,E,M
8,159,0.014354250842373704,E,M
8,160,0.9961032317820867,M,M
8,161,0.001044914357803515,E,M
8,162,0.9853728981121938,M,M
8,163,0.008813808324609313,E,M
8,164,0.0020165623440316976,E,M
8,165,0.0004047483045466967,E,M
8,166,0.11256227603438229,E,M
8,167,0.19546778953993918,E,M
9,1,0.891135533186845,M,M
9,2,0.6318433248462612,M,M
9,3,0.0045720582639413145,E,M
9,4,0.0012774347591487981,E,M
9,6,0.9866483928080708,M,M
9,7,0.011754436391063295,E,M
9,8,0.22188639004236047,E,M
9,9,0.9982146101255117,M,M
9,10,0.002196786237995451,E,M
9,11,0.07243335538119719,E,M
9,12,0.020829001824311542,E,M
9,13,0.029109377127789007,E,M
9,15,0.788338698659404,M,M
9,16,0.9634694731446773,M,M
9,17,0.0012315608654487724,E,M
9,19,3.181467143132878e-05,E,M
9,20,0.002750741275246064,E,M
9,21,0.006432729018710264,E,M
9,22,0.0007302870803140533,E,M
9,24,0.922600875245182,M,M
9,25,0.8524151437144759,M,M
9,26,0.0001487726508439366,E,M
9,28,0.0011988213206931605,E,M
9,31,6.86486873684221e-05,E,M
9,32,0.008200985918500945,E,M
9,33,0.007844264964226836,E,M
9,34,0.0004803400561994181,E,M
9,35,0.002661378142835137,E,M
9,36,0.023189631721934327,E,M
9,37,0.9113952881863904,M,M
9,38,0.15026945715220796,E,M
9,39,0.00170404493811736,E,M
9,40,0.032708000943853795,E,M
9,41,0.0032904850058072675,E,M
9,43,0.0042490888720951355,E,M
9,45,0.0009425347325105766,E,M
9,46,0.0044973182623190035,E,M
9,47,0.0020231859784394105,E,M
9,48,0.2298850080738766,E,M
9,50,0.002484771032204531,E,M
9,51,0.00014056188152138788,E,M
9,52,0.9356513384844257,M,M
9,53,0.0022724826195283593,E,M
9,54,0.003385688270063099,E,M
9,55,0.09359261152729544,E,M
9,56,0.008209970754902854,E,M
9,57,0.009205503015257948,E,M
9,59,8.64474856202287e-05,E,M
9,60,0.03648581874009717,E,M
9,61,0.0602441865748991,E,M
9,62,0.015855247073117897,E,M
9,63,0.0513716162855868,E,M
9,68,0.00982102871104721,E,M
9,69,1.6583738538281782e-06,E,M
9,71,0.014497413719568215,E,M
9,74,0.0015396812286355944,E,M
9,78,0.007270298642783519,E,M
9,82,0.026803764561970277,E,M
9,84,0.00044615812615800515,E,M
9,86,0.0023922731734390733,E,M
9,88,0.11280419957150976,E,M
9,89,8.152068345694164e-05,E,M
9,90,0.001406268128877443,E,M
9,91,0.004008024991808015,E,M
9,92,0.0005656483956103427,E,M
9,94,0.005809480396353009,E,M
9,95,0.005174967365271813,E,M
9,96,0.0047474189499873915,E,M
9,99,0.22431204328097512,E,M
9,100,0.007950668003135602,E,M
9,101,0.0035652471506523106,E,M
9,103,0.001044020034101482,E,M
9,106,0.2303811930441925,E,M
9,107,0.9958468906733686,M,M
9,108,0.003112442668421958,E,M
9,109,0.024468626918802173,E,M
9,110,0.4116460645453863,E,M
9,111,0.0024115594995498557,E,M
9,112,0.9999377388457551,M,M
9,114,0.0043190176665130935,E,M
10,2,0.6137303285084638,M,M
10,3,0.001969333615626648,E,M
10,4,7.743308338710099e-05,E,M
10,7,0.999197862920375,M,M
10,9,0.048953136703984955,E,M
10,10,0.03848487447522965,E,M
10,12,0.004527489065853701,E,M
10,13,0.1594117039715217,E,M
10,16,0.0008511111601458144,E,M
10,19,0.006681131184992149,E,M
10,21,0.018503130918806253,E,M
10,23,0.008129248404786293,E,M
10,24,0.01097755849146677,E,M
10,25,0.0026150372857342073,E,M
10,26,0.005717152813776512,E,M
10,27,0.005139849966514885,E,M
10,28,0.0078343555389804,E,M
10,29,0.08431617988849621,E,M
10,30,0.0010618245990837423,E,M
10,31,0.007653790530391311,E,M
10,32,0.018917987827706106,E,M
10,33,0.05784732363966431,E,M
10,35,0.006284678417405054,E,M
10,36,0.15574003555087781,E,M
10,37,0.005480616807454315,E,M
10,38,0.00038378524399086515,E,M
10,39,0.020988036680064347,E,M
10,40,0.01369259703023264,E,M
10,41,0.0010073606244007177,E,M
10,43,1.1018371928310851e-05,E,M
10,44,8.331009254514506e-05,E,M
10,46,0.9922034325682364,M,M
10,47,7.496493774652589e-06,E,M
10,49,0.876997418914762,M,M
10,50,0.03758450295639102,E,M
10,53,0.28604641167535855,E,M
10,54,0.025544823808583205,E,M
10,55,0.9999999999132454,M,M
10,58,0.21205266744664278,E,M
10,59,0.3815511575556076,E,M
10,60,0.0007685561315572729,E,M
10,61,5.2438840408063096e-05,E,M
10,62,0.9307900080280784,M,M
10,63,1.6803055107119895e-05,E,M
10,64,0.029842702885492768,E,M
10,65,0.17916770149687383,E,M
10,66,0.06858953253609126,E,M
10,67,0.001499848292761442,E,M
10,68,0.9985632950106537,M,M
10,69,0.11405153918880849,E,M
10,70,0.0031818893590086616,E,M
10,71,0.006384838371111815,E,M
10,75,0.009339646326773367,E,M
10,76,0.2469799847603484,E,M
10,78,0.0008886531943656083,E,M
10,79,0.08213445819210691,E,M
10,80,0.008751341665828645,E,M
10,82,0.0013144204177944682,E,M
10,83,0.02983036054178709,E,M
10,86,0.2963574688594519,E,M
10,88,0.0007505657862839659,E,M
10,90,0.0014733432010758487,E,M
10,94,0.9983587841729902,M,M
10,95,0.6930218891193168,M,M
10,96,0.03211836869256962,E,M
10,97,0.00026286959861925344,E,M
10,99,0.02170356593257359,E,M
11,1,0.034759735775381516,E,M
11,2,0.00036240923881425803,E,M
11,3,0.0009676352935459648,E,M
11,4,0.042008332096154934,E,M
11,5,0.18929620823275103,E,M
11,7,0.916048859842405,M,M
11,8,0.9999094186068762,M,M
11,10,0.006897263060677684,E,M
11,12,0.01880488612345787,E,M
11,13,0.7745728172387315,M,M
11,14,0.0002802463367528576,E,M
11,15,0.03291506859949551,E,M
11,16,0.02297234270051325,E,M
11,17,0.003959971483635738,E,M
11,18,0.0004635604830757594,E,M
11,23,0.0004143191062994828,E,M
11,24,0.002943807039067267,E,M
11,25,0.0006898138395931553,E,M
11,28,0.0028802438974186192,E,M
11,29,0.03920247179702966,E,M
11,30,0.0005500393095407293,E,M
11,31,0.012388230074238173,E,M
11,33,0.002627977892593117,E,M
11,34,0.003254862974119781,E,M
11,36,0.0023860412925641615,E,M
11,37,0.0012498213445573,E,M
11,39,0.45888258147327116,E,M
11,40,0.31361400927021843,E,M
11,41,0.9774324891476923,M,M
11,44,0.01538814511769406,E,M
11,46,0.04380629998172494,E,M
11,48,0.6192269705100423,M,M
11,49,0.04101841009723778,E,M
11,50,0.18241389740289887,E,M
11,52,0.7053302585100553,M,M
11,53,0.014755138835048797,E,M
11,57,0.9744385290004356,M,M
11,60,0.0614870790833568,E,M
11,61,0.005893482769846306,E,M
11,62,0.0036227034419504898,E,M
11,63,0.01303813093701323,E,M
11,64,0.037889909531843034,E,M
11,65,0.0005205853414398312,E,M
11,66,0.008889538068166511,E,M
11,67,0.0018662102581540477,E,M
11,69,0.03735464834402825,E,M
11,70,0.21560318613312468,E,M
11,72,0.00045775847565787003,E,M
11,73,0.06043590120569628,E,M
11,74,0.0042876659964696025,E,M
11,76,0.0013990350530195706,E,M
11,77,0.9983720568176706,M,M
11,80,0.00808861251071294,E,M
11,81,0.0006309034169851163,E,M
11,82,0.0006886517638842741,E,M
11,83,0.039402794339203774,E,M
11,84,0.2572580791820138,E,M
11,86,0.0017915521950174658,E,M
11,87,7.757609980085203e-05,E,M
11,88,0.0020492088471330628,E,M
11,89,0.019744085356374175,E,M
11,91,0.0004461833748893913,E,M
12,14,0.00035647813918584625,E,M
12,16,0.0022631206069659467,E,M
12,18,0.044095502713312966,E,M
12,19,0.0005969594735778761,E,M
12,24,0.00018252119930141548,E,M
12,25,0.9428364906508425,M,M
12,27,0.0018775923965848394,E,M
12,31,4.165801843445429e-05,E,M
12,33,0.0042457070677648905,E,M
12,35,0.17573941129756634,E,M
12,37,0.00018403301462837978,E,M
12,39,0.008598504476918055,E,M
12,42,0.001410506567981392,E,M
12,44,0.004628925852822002,E,M
12,48,0.000547911883171996,E,M
12,49,0.0023572113553822173,E,M
12,51,0.0007933968529202611,E,M
12,52,0.8016570550326726,M,M
12,53,2.3113449517922174e-05,E,M
12,55,0.9753889517309592,M,M
12,58,0.1483555053424485,E,M
12,59,0.0016277830338624932,E,M
12,60,0.002131743623053328,E,M
12,61,0.015440415141794301,E,M
12,62,0.004780423775375037,E,M
12,63,0.0003014938885357159,E,M
12,64,0.0006303952907526659,E,M
12,65,0.8058564672115966,M,M
12,66,0.4282587126874477,E,M
12,67,0.019084081987721272,E,M
12,68,0.00019470338647018038,E,M
12,69,0.0006873897478520897,E,M
12,70,0.0032147580635767887,E,M
12,71,0.13519609529913823,E,M
12,72,0.00808848910090684,E,M
12,73,0.000331122678099074,E,M
12,75,0.01999132367314128,E,M
12,76,0.032661340253821045,E,M
12,77,0.003826332403908098,E,M
12,78,0.00044642578368952985,E,M
12,81,0.0008947209979049863,E,M
12,82,0.00025539580259394687,E,M
12,83,0.0007273213953002959,E,M
12,84,0.8095267174286502,M,M
12,87,0.08135139322885622,E,M
12,90,0.017843942205506193,E,M
12,91,0.0017754637738752487,E,M
