ImageNumber,ObjectNumber,Annotation,Cell_objectnumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Children_Cells_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_Cells_Distance_Centroid_FilteredNuclei_nei,Mean_Cells_Location_Center_X,Mean_Cells_Location_Center_Y,Mean_Cells_Location_Center_Z,Mean_Cells_Number_Object_Number,Number_Object_Number,Parent_Nuclei
1,1,,1,2231,3315,663,169,598,118,628.4477813,141.4437472,2231,-2.67E-12,581659.6665,1062743.79,2.27E-12,-145069.3035,-121463.7184,-64913114.5,315266.6903,-485707.0377,64274732.33,-56340007.7,1.476329551,2391,0.781211171,53.29725532,1,0.673001508,0.67735554,0.180201186,0.006262407,0.000125479,7.44E-06,-1.75E-11,-9.33E-08,2.27E-10,289.2899274,112.7389192,260.7170177,65.02434041,65.02434041,141.3118289,68.03410056,65.73431372,19.20937271,7.726261132,7.071067812,43.10229264,42.47143401,nan,nan,0.116861057,0.004520429,nan,-0.029145827,-0.000516651,-0.005845662,0.063340129,-0.002065977,0.005788174,-0.000107416,0.001705233,-0.004072043,0.000133663,-0.000644387,-66.2784164,203.4446968,0.933082392,2231,67929,2649947,117168243,52303,1447441,53169147,2267387593,1541445,39645937,1363503407,55278327133,0.655018967,0.031374088,0.166227153,0.105538263,0.019721403,0.008027958,0.017400504,0.019113147,0.020663461,0.010368058,0.009263163,0.00552489,0.00842878,0.025245586,0.012181864,0.004048649,0.012040576,0.009430637,0.002592598,0.001766179,0.007228019,0.002131332,0.01225443,0.012148307,0.003385441,0.001485659,0.004542677,0.00300095,0.001191145,0.001671334,1,628.4477813,141.4437472,0,13.47191809,621.4074474,152.9296636,0,1,1,1
1,2,,2,1657,2162,686,193,640,146,662.6409173,168.9631865,1657,3.33E-12,225567.3458,-10600.29963,-1.10E-11,-54907.90404,86422.83838,-14620438.08,231470.7544,-71168.76119,26232021.54,-18688149.66,1.59182868,1791,0.6228227,45.93210125,1,0.766419981,0.628208307,0.166459041,0.001604327,1.19E-05,5.62E-07,1.60E-13,8.56E-09,1.44E-12,171.0960983,104.7265331,136.1299613,33.13693666,33.13693666,139.6926701,52.32148289,55.1724569,18.60107524,6.89946153,6,43.4,40.93439299,nan,nan,0.082154473,-9.48E-05,nan,-0.019998151,0.000773254,-0.003213608,0.084304569,-0.000636771,0.005765862,-0.000100911,-0.000608268,-0.003656573,0.000157686,-0.000512229,-43.46144584,182.0599205,0.925181463,1657,37516,1074964,34541674,38050,806579,22284691,699997331,1105220,22430305,598281841,18274303429,0.693087361,0.061519974,0.179750346,0.055574419,0.002346951,0.018116915,0.043078989,0.007388853,0.021545628,0.026259726,0.004423339,0.006922727,0.011609077,0.015969806,0.001786914,0.012216057,0.009279269,0.008534079,0.006882504,0.005156004,0.003581393,0.007705844,0.005180517,0.003756425,0.006872111,0.00861619,0.0032757,0.004778223,0.005717856,0.005082207,1,662.6409173,168.9631865,0,6.732448488,669.0643666,166.9469619,0,2,2,2
1,3,E,3,1042,1584,1261,293,1228,245,1243.371401,267.9712092,1042,6.61E-13,61741.26775,36631.28384,-3.55E-14,-39345.85797,29210.91177,-4965295.17,148661.1363,-134789.8344,8200612.881,-14666278.34,1.356936981,1104,0.84598794,36.42410748,1,0.657828283,0.7369539,0.193782815,0.011661415,0.000158384,2.07E-05,1.07E-09,1.86E-06,5.03E-10,157.2226118,44.69908112,59.25265619,37.75994047,37.75994047,142.6690367,50.15537647,49.33558553,13.34166406,5.41093563,5,26.92145438,26.74294856,nan,nan,0.056864353,0.00104516,nan,-0.036237947,0.000833443,-0.004388761,0.136918461,-0.00384581,0.007248417,-0.00040159,0.00275071,-0.009739354,0.00066805,-0.001002382,-21.0778438,133.2964646,0.94384058,1042,16017,307945,6668277,23936,328584,5893478,121670214,698500,8794490,147447752,2879015612,0.544301174,0.028137948,0.180669097,0.101269245,0.01277207,0.001130078,0.012392523,0.039980043,0.032976898,0.00559462,0.010593982,0.00383017,0.011969784,0.014325088,0.000438383,0.014059168,0.005379569,0.008715628,0.006937598,0.004317766,0.010768486,0.013631412,0.014763421,0.007444254,0.007546373,0.004658164,0.004878331,0.00157844,0.004432001,0.00315423,1,1243.371401,267.9712092,0,16.21684071,1227.603036,271.7586338,0,3,3,3
1,4,E,4,1179,1564,1158,312,1112,278,1134.94402,293.6039016,1179,-4.55E-12,158080.3053,-77557.95564,-4.32E-12,13043.85751,-106726.8014,3139361.569,79476.02205,25414.69628,7638592.398,-942862.0742,1.186198291,1228,0.719039894,38.74466961,1,0.753836317,0.843029372,0.170898792,0.003549919,7.23E-05,2.34E-06,1.26E-11,4.64E-08,2.78E-11,135.8679509,65.62172459,134.0799876,-11.06349237,-11.06349237,67.40968792,46.62496342,45.607017,16,6.251350326,5.656854249,31.81980515,32.40289483,nan,nan,0.113723484,-0.001624957,nan,0.009383793,-0.002236088,0.001915578,0.057175308,0.000532476,0.004660923,-1.68E-05,0.001163254,0.001209306,-0.000166065,0.000187132,80.81984084,132.5685425,0.96009772,1179,27051,778739,25043841,18397,435145,12643197,407174725,366541,8842409,255600905,8134226105,0.719082586,0.027088955,0.162214835,0.096514281,0.010440191,0.010334332,0.036047753,0.001403033,0.017024446,0.008931017,0.012550771,0.005109396,0.012529124,0.025636379,0.018106965,0.003017445,0.004000096,0.006770866,0.000392714,0.00189469,0.003181774,0.00578099,0.001937438,0.010562471,0.001338056,0.005866209,0.004295154,0.006144083,0.006370958,0.002641513,1,1134.94402,293.6039016,0,6.877622892,1131.972511,287.4013352,0,4,4,4
1,5,E,5,1219,2050,1152,410,1102,369,1126.97621,388.1378179,1219,-6.25E-12,171972.3101,-70525.32405,-1.68E-12,79563.99672,-31459.30122,21575820.84,120092.8466,12648.87539,17293976.22,-7990804.571,1.616652581,1333,0.853577338,39.39643391,1,0.594634146,0.61856209,0.196549678,0.012686676,1.07E-05,1.25E-06,2.05E-12,2.28E-08,-4.09E-12,188.4481505,51.14590745,141.0765464,-65.26989066,-65.26989066,98.51751156,54.91056737,53.26349594,13.60147051,5.494707751,5,29.44848238,28.60654679,nan,nan,0.115731375,-0.001359364,nan,0.053543799,-0.000606373,0.011911219,0.080818303,0.000243805,0.00954737,-0.000126351,0.000691581,0.008538265,6.61E-05,0.0016501,54.02859246,157.3675324,0.91447862,1219,30446,932398,31807676,23329,662234,21787018,776846834,566559,17208508,585256600,21267145552,0.546987356,0.018773374,0.176205218,0.10533782,0.007210626,0.013850938,0.017264864,0.03796693,0.033536325,0.002370796,0.002687347,0.011113322,0.012018942,0.014221797,0.00301222,0.009284713,0.005156395,0.004203378,0.005020816,0.007630409,0.014283516,0.013209722,0.013800358,0.006505559,0.000721918,0.004523942,0.001873628,0.007956954,0.005533641,0.003142875,1,1126.97621,388.1378179,0,4.965731516,1127.721507,383.2283351,0,5,5,5
1,6,E,6,1141,1862,1223,502,1174,464,1197.799299,482.0946538,1141,-2.22E-12,133775.0394,-1399.367166,5.32E-12,-50523.32428,36064.15467,-13351329.91,102429.7774,-22724.72476,10573333.92,-14945915,1.663474718,1235,0.7865695,38.11517179,1,0.612781955,0.601151307,0.181433493,0.006603923,8.46E-06,9.41E-07,1.87E-12,6.00E-08,-1.88E-12,149.8692195,57.14639559,117.2436805,44.27986352,44.27986352,89.77193461,48.96843383,51.26402247,14.31782106,5.520511487,5,30.26568811,30.23809401,nan,nan,0.102755198,-3.18E-05,nan,-0.038807943,0.00082009,-0.008988094,0.078678295,-0.000516755,0.007117951,-0.000297867,-2.00E-05,-0.005198676,0.000112105,-0.00101549,-53.61709806,154.4386002,0.92388664,1141,27155,780045,24930629,20646,440837,11745869,354484439,476012,9477623,237183839,6747962441,0.552803014,0.041319754,0.198258148,0.076555279,0.01990565,0.015167506,0.001373605,0.030900036,0.026306372,0.011225582,0.00560284,0.007919957,0.021956227,0.017793117,0.011388574,0.011689364,0.011762349,0.011090258,0.006151178,0.004508933,0.008298711,0.010143932,0.010146068,0.007137846,0.005051457,0.005706762,0.007267393,0.005132704,0.002885443,0.002825751,1,1197.799299,482.0946538,0,17.21084318,1214.514869,486.1937823,0,6,6,6
1,7,E,7,1601,2100,1090,521,1055,461,1071.417239,491.3597751,1601,6.70E-12,119731.2842,23169.94398,-6.32E-12,-25635.32979,74194.51568,-3977150.357,356544.7695,-99796.01941,19770302.41,-14178758.88,1.300941716,1669,0.821212131,45.14926922,1,0.762380952,0.768673944,0.185812995,0.008935968,2.34E-05,1.17E-06,-6.82E-14,-1.86E-08,-6.11E-12,224.4147688,73.07183569,74.7853118,16.01207358,16.01207358,222.7012926,59.92191836,59.21148537,16.2788206,6.780631667,6.08276253,33.41486644,34.19282631,nan,nan,0.046711625,0.000225916,nan,-0.010001295,0.000723425,-0.000969166,0.13910137,-0.000973049,0.004817695,-8.64E-05,-0.001504351,-0.002892274,0.00019609,-0.000227174,-6.108063027,161.7817459,0.95925704,1601,26284,551242,13004356,48606,772341,15968055,373758237,1832212,28423501,574076123,13164623329,0.580404888,0.019815822,0.186227029,0.10010382,0.007458222,0.011154329,0.001339782,0.034054605,0.028891565,0.000855152,0.006653012,0.008040419,0.018727686,0.020960437,0.004392178,0.009809164,0.000944053,0.003490343,0.004341205,0.005011267,0.009933736,0.013319754,0.01782058,0.00783873,0.003425765,0.001638401,0.001185691,0.003112777,0.003906394,0.003480082,1,1071.417239,491.3597751,0,16.46573335,1054.956059,491.7469895,0,7,7,7
1,8,,8,1253,1961,841,594,788,557,812.1260974,575.3024741,1253,-1.84E-12,209388.0766,591589.6327,-2.63E-13,13827.2091,-464134.6377,1047917.68,87864.36233,-221515.6644,10943969.97,-27006742.91,1.529677524,1419,0.76865468,39.94207242,1,0.638959714,0.653732558,0.189331678,0.006301514,0.001224009,8.93E-05,2.16E-09,-1.62E-06,-2.94E-08,168.3491672,68.88342575,167.1093987,-11.0352826,-11.0352826,70.1231942,51.89977529,52.15361924,15,5.699019455,5,33.46050026,33.19841581,nan,nan,0.133367437,0.010644932,nan,0.008807089,-0.008351535,0.000532689,0.055964241,-0.003985903,0.005563162,-0.000387832,0.00164989,0.001549537,-0.000642037,0.0001992,83.58993393,155.1959595,0.883016209,1253,30230,938720,33342674,22933,567111,17383957,601853223,507595,12530915,373284333,12473828723,0.586532776,0.126494582,0.12272278,0.062461296,0.05835439,0.009716681,0.027132735,0.029036801,0.030152292,0.01318534,0.006007397,0.005169178,0.022592446,0.018977494,0.010548392,0.018210973,0.004799865,0.005678778,0.011484732,0.002354751,0.009172786,0.007504661,0.004092379,0.001729376,0.008252704,0.003263832,0.008863409,0.006396201,0.006078344,0.000641291,1,812.1260974,575.3024741,0,14.2702359,816.9102309,561.8580812,0,8,8,8
1,9,,9,1164,1620,872,608,827,572,848.0678694,590.3281787,1164,-7.11E-14,143967.6383,141903.6376,-4.88E-12,-11602.92612,131627.0965,-2207816.796,84462.63574,-93412.27186,6912142.868,-9476694.654,1.333074472,1238,0.661071492,38.49741329,1,0.718518519,0.750145638,0.168596168,0.002222183,0.000181607,3.29E-06,-3.61E-11,-1.01E-07,7.19E-11,125.5584697,70.68747017,123.6835381,9.968149585,9.968149585,72.56240184,44.82115032,44.91102315,15.65247584,6.044461442,5.385164807,34.4688265,33.63033634,nan,nan,0.106257335,0.003069807,nan,-0.008563702,0.002847494,-0.001399923,0.062338833,-0.002020791,0.004382821,-0.000176125,-0.001367633,-0.001218645,0.00026347,-0.000172036,-79.34756735,139.6396103,0.940226171,1164,24523,660615,20125837,21334,437859,11750599,359531373,475476,9498533,249284277,7511224523,0.734779787,0.077334287,0.146572385,0.072671431,0.011223067,0.010268339,0.038280949,0.011260323,0.025382759,0.028699299,0.018348921,0.003227992,0.005605889,0.011168728,0.009949555,0.005404756,0.001889386,0.001074219,0.004688414,0.005454526,0.002913511,0.004406841,0.010379491,0.011478211,0.003741914,0.008804028,0.004669297,0.004880137,0.002659162,0.003106678,1,848.0678694,590.3281787,0,15.45778316,854.658583,604.3105088,0,9,9,9
1,10,E,10,1285,2067,1181,610,1128,571,1153.949416,589.7610895,1285,-1.82E-12,218135.7121,-27814.52718,-4.17E-12,-79027.52918,-26587.30412,-24912489.74,109765.6545,30131.04442,18304488.64,10352278.84,1.83335448,1413,0.858909154,40.44889139,1,0.621673924,0.545448254,0.19858067,0.013469605,5.61E-06,2.75E-07,-1.15E-13,-1.40E-08,-3.22E-13,202.1557486,53.02041209,169.7554179,61.50002271,61.50002271,85.42074278,56.87259426,55.94640292,13.03840481,5.471975926,5,29.33283304,29.12604665,nan,nan,0.132105384,-0.000469909,nan,-0.04785994,-0.000449176,-0.011741072,0.066475286,0.000509045,0.00862677,0.000136105,-7.42E-05,-0.006609526,-0.000108444,-0.001404126,-62.21819349,172.0599205,0.909412597,1285,33345,1083419,39407265,24108,546561,16198097,552696135,562058,11649923,320229119,10282049873,0.521884734,0.037815738,0.176571109,0.096573654,0.021273434,0.023713074,0.014614741,0.044283484,0.027172945,0.001133348,0.007112913,0.012417886,0.006025909,0.009868272,0.003432662,0.008385905,0.007455265,0.012460596,0.004198521,0.005446697,0.009789397,0.010585502,0.012358329,0.004624596,0.003408279,0.007387591,0.006364461,0.011998706,0.004204812,0.003170587,1,1153.949416,589.7610895,0,8.472132921,1154.36349,581.2990815,0,10,10,10
