ImageNumber,ObjectNumber,Annotation,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
1,1,,5559,10400,679,210,579,106,621.4074474,152.9296636,5559,-3.93E-11,2535272.132,14703539,-1.28E-11,-955889.6881,-19868860.69,-1210263835,3821413.498,16774859.2,1472706860,24649227736,2.384830274,7377,0.729440319,84.13048573,1,0.534519231,0.419317052,0.205701466,0.005559439,0.001881664,0.000223086,-1.44E-07,-1.65E-05,-6.01E-09,778.9913098,364.5031371,456.0662226,171.9535327,171.9535327,687.4282242,111.6416632,110.8873302,25.94224354,9.848483894,8.94427191,84.58140811,76.36786099,nan,nan,0.082041055,0.006381609,nan,-0.030932458,-0.008623455,-0.007045147,0.123660411,0.0072806,0.008572871,0.001924487,0.014659206,-0.003777182,-0.000779549,-0.000996628,-28.03473774,408.1614716,0.753558357,5559,235743,12532531,761205027,260882,10107450,487204920,26827877088,16064518,608310898,27895026060,1.44E+12,0.575174663,0.144186449,0.075305136,0.041743281,0.060372371,0.016785745,0.058290371,0.039394513,0.012107838,0.015539584,0.001900278,0.010392203,0.019859822,0.009239113,0.011596247,0.012237097,0.017951176,0.001386533,0.013234505,0.004141006,0.001837233,0.011607934,0.00362126,0.002595196,0.009897301,0.005764385,0.003842589,0.007357686,0.003910001,0.004789378,621.4074474,152.9296636,0,1,1
1,2,,3884,6806,708,207,625,125,669.0643666,166.9469619,3884,2.63E-11,1298175.908,-4694046.67,-6.72E-11,-487174.7405,-1016990.762,-299104593.8,1385397.074,4424074.303,341056989.7,2191196873,1.664193505,4291,0.730954824,70.32255962,1,0.570672936,0.600891661,0.177891406,0.004205125,0.000365643,1.34E-05,-2.52E-10,-5.88E-08,-9.08E-10,471.39786,219.532362,334.2368456,125.4311896,125.4311896,356.6933765,86.84679476,85.88364221,26.83281573,9.862483156,8.94427191,62.16037842,59.26649806,nan,nan,0.086054801,-0.00499286,nan,-0.032294333,-0.00108173,-0.005104879,0.091836606,0.004705701,0.005820889,0.000600073,-0.00257283,-0.005790473,-0.000539674,-0.000674285,-42.44233463,285.001046,0.905150315,3884,171146,8839616,499224632,162922,6691880,326843952,17669617454,8219480,325739254,15287423158,7.96E+11,0.639845494,0.052075658,0.17387395,0.080774808,0.025206273,0.020132161,0.028928981,0.028633988,0.003834406,0.012940304,0.01967054,0.015832486,3.02E-05,0.019613626,0.00691096,0.011283428,0.013439971,0.010898941,0.002183808,0.010723452,0.001453304,0.000608836,0.009789095,0.010498093,0.003522536,0.001626519,0.003757164,0.008917908,0.001304499,0.00240804,669.0643666,166.9469619,0,2,2
1,3,E,5270,8774,1277,310,1170,228,1227.603036,271.7586338,5270,1.05E-11,3479353.551,-13082146.59,2.19E-11,-1507836.938,7719173.066,-2040813674,2100742.982,625841.2845,1517174861,-9337483901,1.748626537,5720,0.863408504,81.9144212,1,0.600638249,0.571877401,0.200918757,0.014254339,0.000252209,3.98E-05,3.55E-09,3.52E-06,1.82E-09,844.0176234,214.8242236,660.2188902,286.1170661,286.1170661,398.6229568,116.2079256,120.9504031,29.41088234,11.32630043,10.19803903,60.31724783,58.62753259,nan,nan,0.125278727,-0.006488622,nan,-0.054291663,0.003828637,-0.013943491,0.07564003,0.000310411,0.010365823,-0.000878805,-0.002555263,-0.008246541,0.000273439,-0.001948012,-57.28371765,340.2975106,0.921328671,5270,303568,20965792,1595453782,230608,11775884,751441616,54098502098,12191834,570950726,34178211798,2.34E+12,0.457252238,0.063553217,0.175728306,0.078752737,0.038088323,0.020579035,0.024418849,0.042644088,0.026413797,0.010396953,0.013668936,0.008649978,0.004940095,0.007415568,0.012076018,0.010634443,0.010122235,0.011235873,0.007323591,0.00358331,0.004774625,0.006858548,0.008299579,0.00552631,0.005044432,0.012403978,0.010049214,0.008384152,0.004175215,0.001686727,1227.603036,271.7586338,0,3,3
1,4,E,5093,8010,1180,334,1091,244,1131.972511,287.4013352,5093,8.91E-12,2077356.152,2955339.628,-6.24E-11,-617126.8131,-3911164.66,-519696177,2307381.671,-356082.1208,678930841.6,995848489.6,1.930148473,5577,0.667229702,80.52706999,1,0.635830212,0.518094859,0.169042645,0.002342839,8.97E-05,2.56E-06,-3.71E-11,-1.15E-07,1.15E-11,553.7250344,307.2091542,407.8845772,121.1715714,121.1715714,453.0496114,94.12545113,94.62557794,32.80243893,11.67557184,10.04987562,71.72045733,70.10953193,nan,nan,0.080087292,0.001596516,nan,-0.023791787,-0.002112866,-0.003933947,0.088955353,-0.000192361,0.005139306,0.00010563,0.002880228,-0.003863348,-0.000139932,-0.000486954,-39.72150368,351.4690835,0.91321499,5093,208673,10627213,608607941,221043,8439560,406753598,22305951572,11900943,433687184,19812334530,1.03E+12,0.724213648,0.071869103,0.152879713,0.072634111,0.011787652,0.007053541,0.039990735,0.007948032,0.00755375,0.028939858,0.016886172,0.000450318,0.007146499,0.017473805,0.00840654,0.014501002,0.004187246,0.005930532,0.004446378,0.003929338,0.006156257,0.00303057,0.006414724,0.006398078,0.007898499,0.010163058,0.009827464,0.001401675,0.002870155,0.001375607,1131.972511,287.4013352,0,4,4
1,5,E,7616,13420,1190,442,1068,332,1127.721507,383.2283351,7616,2.81E-11,6483444.317,-7641769.789,-4.56E-11,3668568.299,-9390256.084,6498604579,5410689.925,-3861973.759,5549224284,-24110712950,1.79770087,8088,0.876378653,98.47330792,1,0.567511177,0.556266071,0.205059061,0.016342991,4.08E-05,6.33E-06,9.52E-11,6.95E-07,-3.60E-11,1267.678522,294.0512893,851.2925837,-481.6922661,-481.6922661,710.4372276,142.4178934,149.4021419,34.05877273,13.22491336,12.04159458,69.7109471,68.59169504,nan,nan,0.111776862,-0.001509651,nan,0.063247409,-0.001855069,0.014710902,0.093282199,-0.000762943,0.012561788,-0.000625411,0.000774756,0.011747252,-0.000456204,0.002621091,49.15910599,414.7888886,0.941641939,7616,454839,33647115,2776216791,390155,26969213,2152480283,1.86E+11,25397681,1888795111,1.57E+11,1.39E+13,0.434433599,0.034133506,0.185902286,0.074352986,0.023480965,0.018130584,0.033201153,0.050175523,0.025278378,0.005254156,0.014384435,0.010147441,0.003269878,0.0025008,0.0153725,0.011335,0.005921602,0.006419969,0.009691798,0.005148364,0.012786499,0.010078189,0.00625003,0.004761255,0.007196465,0.008167106,0.009047439,0.006127626,0.004802616,0.003000436,1127.721507,383.2283351,0,5,5
1,6,E,8138,12210,1304,522,1139,448,1214.514869,486.1937823,8138,-9.01E-11,12318084.7,68069455.23,-2.15E-11,665893.0523,10897987.97,2284093788,2378327.405,-7769370.764,2358074717,-2075671648,2.84350564,9011,0.900671969,101.7920597,1,0.666502867,0.351678571,0.221909528,0.022930219,0.000269266,0.000103699,1.73E-08,1.56E-05,5.00E-10,1519.107442,286.7923005,1513.650123,-81.82514774,-81.82514774,292.2496197,155.9029155,164.5144371,34.0147027,12.85174496,11.66190379,70.3481752,67.73977272,nan,nan,0.185997803,0.011393524,nan,0.0100547,0.001824115,0.004237999,0.035911725,-0.001300444,0.004375266,-4.27E-05,-0.000471883,0.000651623,3.09E-05,0.00017962,86.18431524,539.2508294,0.903118411,8138,614540,58724992,6363076598,310821,24137500,2354397198,2.59E+11,14249757,1119165104,1.09E+11,1.19E+13,0.382842173,0.034735782,0.172179174,0.071018455,0.019593771,0.01434634,0.047055605,0.050651005,0.027366365,0.00944536,0.010198896,0.008691898,0.004172307,0.012473515,0.017146608,0.013527666,0.001504736,0.010170651,0.005925002,0.006009739,0.007447435,0.007617667,0.004301207,0.005596739,0.00766394,0.004992115,0.006164789,0.008206273,0.002192951,0.004562819,1214.514869,486.1937823,0,6,6
1,7,E,7806,12125,1100,557,1003,432,1054.956059,491.7469895,7806,-1.34E-11,3966869.928,-9346876.897,-1.85E-10,-1286220.783,-12985828.94,-1221375198,6594243.304,20080767.95,2360638664,14800911595,1.755696328,8349,0.718682197,99.69407147,1,0.643793814,0.569574581,0.173321566,0.003641498,0.000252415,4.14E-06,-4.47E-11,-9.49E-08,1.26E-10,911.9999233,440.9482233,508.1821584,164.7733516,164.7733516,844.7659882,120.7973459,126.6056871,40.36087214,14.64485962,13,90.34343532,83.99506874,nan,nan,0.065101481,-0.001736182,nan,-0.021108551,-0.002412117,-0.002567813,0.108220086,0.003730001,0.004962995,0.000352199,0.002000979,-0.004635452,-0.000543808,-0.000460842,-22.19736963,414.9959954,0.934962271,7806,405569,25038637,1703767895,466385,22945306,1349343426,88133352772,34459343,1656756802,94105909494,5.92E+12,0.620057888,0.102010161,0.167798842,0.056725643,0.033435027,0.014613076,0.020600794,0.023585778,0.027846458,0.031589908,0.003449966,0.005794846,0.007008772,0.006503981,0.009251524,0.009885122,0.012574625,0.014042851,0.004399351,0.003006876,0.001829345,0.004204052,0.007256622,6.12E-05,0.011144103,0.005865815,0.001838063,0.008008631,0.006717499,0.002613855,1054.956059,491.7469895,0,7,7
1,8,,5024,8976,876,613,774,525,816.9102309,561.8580812,5024,3.89E-11,2634644.514,16773421.7,-2.48E-11,-564238.0054,-8572318.978,-478202687.9,1956597.812,-3534320.825,577042303.2,626237273.3,1.853560682,6067,0.667599915,79.97971913,1,0.559714795,0.539502164,0.181899269,0.002720517,0.00073513,6.51E-05,-8.40E-09,-9.35E-07,1.15E-08,587.9533171,325.9086108,524.4117265,112.3085202,112.3085202,389.4502014,96.99099481,101.4938422,30.87069808,10.85826662,9.433981132,80.45205479,72.21175648,nan,nan,0.104381315,0.009375568,nan,-0.022354403,-0.00479153,-0.003771057,0.077517954,-0.001975522,0.004550496,6.97E-05,0.008007867,-0.003125042,-0.000316201,-0.000362064,-60.49981176,342.0843071,0.828086369,5024,215581,11885275,752879725,185175,7381664,381072946,23051204936,8781793,331700984,15821258534,8.86E+11,0.618830471,0.093507542,0.153046225,0.063214581,0.040887975,0.020593933,0.024896415,0.038604586,0.016703463,0.009867486,0.024625808,0.006778429,0.009478017,0.011522035,0.005678694,0.0109657,0.019453567,0.006488234,0.005090222,0.010726625,0.009181856,0.005297315,0.003342293,0.010912655,0.001840962,0.00786553,0.00143421,0.002790257,0.009262272,0.003874161,816.9102309,561.8580812,0,8,8
1,9,,4206,6804,895,646,811,565,854.658583,604.3105088,4206,7.48E-12,1350673.725,-3538493.604,9.16E-11,-292122.1094,-822869.2302,-273909834.3,1654598.476,4996049.509,415365359.3,2255944022,2.320146886,4779,0.599579806,73.17954308,1,0.618165785,0.431007194,0.169881183,0.001385875,0.000265374,2.13E-06,5.65E-12,4.18E-08,5.05E-11,435.5492167,278.9710402,321.1302247,69.45366366,69.45366366,393.3900322,83.4792637,90.82400564,29.12043956,10.17967397,8.94427191,68.99777574,66.80970471,nan,nan,0.076350505,-0.003084219,nan,-0.016512997,-0.000717229,-0.003681288,0.093530678,0.004354653,0.00558242,0.000467505,-4.52E-06,-0.002170051,-0.00031766,-0.000414171,-31.25823947,350.1848122,0.880100439,4206,183628,9367612,523375174,165340,6926388,341915450,18522041430,8154198,338029842,16411208800,8.70E+11,0.648684847,0.053081689,0.190995354,0.047965932,0.003396418,0.026597028,0.03079775,0.020208807,0.027593298,0.019672478,0.009479507,0.006824531,0.02001597,0.019018014,0.011555542,0.011456915,0.004580787,0.011045071,0.006140746,0.002371783,0.003064773,0.007261881,0.006544013,0.001865663,0.006896107,0.007638732,0.004416529,0.005222838,0.002376728,0.004159897,854.658583,604.3105088,0,9,9
1,10,E,8710,17433,1239,644,1090,527,1154.36349,581.2990815,8710,-3.20E-11,11375423.19,121546723.7,-3.90E-11,-5982631.892,-74904691.38,-16495223893,6685207.893,7766961.199,11984097932,2.27E+11,2.132105838,9289,0.91186218,105.3086722,1,0.499627144,0.469019869,0.238065582,0.028697703,0.001532461,0.000366217,2.62E-07,5.15E-05,8.08E-08,1774.529864,299.0213509,1306.018736,686.8693332,686.8693332,767.5324791,168.500676,175.2055935,34.6554469,13.01851803,12,72.26024172,69.16893533,nan,nan,0.149944746,0.017167137,nan,-0.078859855,-0.010579463,-0.024963401,0.088120836,0.001096998,0.018136392,0.003679131,0.004866446,-0.014632194,-0.001489132,-0.004673962,-55.70224083,483.0792565,0.93766821,8710,560606,47457982,4640431964,472945,24457759,1731894003,1.47E+11,32365687,1441232707,88834306923,6.67E+12,0.361270366,0.05053962,0.151902395,0.070484145,0.040443016,0.012838387,0.033458584,0.051337253,0.027035527,0.020828587,0.015389416,0.0038827,0.01158693,0.007591108,0.021202211,0.013471948,0.004055069,0.011942342,0.006071948,0.00151079,0.000135569,0.005125084,0.007247839,0.011055206,0.007689753,0.005907504,0.005570314,0.006167117,0.004570356,0.001440341,1154.36349,581.2990815,0,10,10
