ImageNumber,ObjectNumber,,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
1,1,M,4198,10787,949,222,882,61,917.224869,148.5888518,4198,4.23E-12,940441.7237,-654334.2626,1.28E-10,-1581734.876,-8161596.6,-741035435.4,5230942.358,27684671.94,1610853003,19249418930,2.735059938,4579,0.962759864,73.10991457,1,0.389172152,0.3656227,0.350185136,0.091493921,0.005580943,0.002406344,8.74E-06,0.000678124,1.17E-06,1369.943322,100.1338771,224.021373,376.7829624,376.7829624,1246.055826,148.0509816,163.7833935,19.92485885,7.592965134,7,43.10218283,40.02676646,nan,nan,0.053363833,-0.000573051,nan,-0.089752969,-0.007147745,-0.0100164,0.296821302,0.02424562,0.021773518,0.004015773,-0.035816816,-0.056617321,-0.01197225,-0.006931092,-18.2010376,379.8477631,0.91679406,4198,147874,6149284,282207262,367698,11370379,419014321,17226892039,37437188,1069320031,36277585885,1.37E+12,0.199256649,0.035114445,0.099522299,0.03926387,0.032515774,0.013396527,0.035024291,0.03903713,0.014443548,0.021892391,0.0220582,0.005393075,0.016655597,0.018067162,0.01563328,0.007742077,0.014849676,0.018274282,0.011578838,0.00275549,0.009697849,0.00632004,0.007129129,0.006935268,0.005558525,0.009977885,0.00942652,0.01220854,0.005343142,0.00208285,917.224869,148.5888518,0,1,1
1,2,,4025,6882,2181,225,2088,151,2135.54882,189.4387578,4025,3.23E-11,2113494.657,-542697.9831,6.76E-12,-831295.2159,-1755959.441,-856968386.3,1154081.154,2067448.534,660280094.3,2300942718,1.933647954,4585,0.860303102,71.58763278,1,0.584859053,0.51715722,0.201694429,0.014039007,6.00E-05,9.57E-06,1.85E-10,5.20E-07,-1.35E-10,644.3637463,167.4563309,525.0918402,206.5329729,206.5329729,286.728237,101.5372835,101.2373449,24.33105012,9.058291598,8.062257748,56.6908489,51.76196764,nan,nan,0.1304576,-0.000528012,nan,-0.05131254,-0.00170844,-0.013142172,0.071236829,0.0020115,0.010125828,0.000556193,-0.001005417,-0.007905943,-0.00064897,-0.001868442,-59.99375048,312.7350647,0.877862595,4025,191384,11213578,733638056,154716,6525268,350225836,21454283938,7101172,275811886,13822143854,8.00E+11,0.499779753,0.033972625,0.178803754,0.091652147,0.023834655,0.011281565,0.022283558,0.041671538,0.032536635,0.003346721,0.010418455,0.004872263,0.006186949,0.01144107,0.015422162,0.011661994,0.009331174,0.00910332,0.004673123,0.002727363,0.01426402,0.009178568,0.007005202,6.36E-05,0.005041636,0.008006992,0.007914633,0.004700363,0.001820836,0.004341485,2135.54882,189.4387578,0,2,2
1,3,M,4945,11600,1277,532,1237,242,1258.391911,394.528817,4945,1.00E-11,371920.4764,-171932.8669,3.09E-10,2351785.153,-3159928.556,364777999.4,26908830.14,-37559848.93,2642985392,-6883301836,6.520293224,6399,0.996950807,79.34840609,1,0.426293103,0.153367336,1.115639093,1.214701269,0.040842176,0.039907829,0.001611171,0.043939874,-7.99E-07,5483.44612,33.38919281,75.21142092,-475.5885041,-475.5885041,5441.623892,296.2011781,289.8361606,12,4.974566683,5,24.7844789,23.11335296,nan,nan,0.01520959,-1.00E-04,nan,0.096175633,-0.001837645,0.003016684,1.100429503,-0.021842789,0.021857268,-0.000809496,-0.196723035,0.190490315,-0.007284599,0.005591215,5.025539704,636.5340546,0.772776996,4945,105783,2634821,72104103,754255,18486741,499344559,14388569223,141954453,3716547193,1.04E+11,3.09E+12,0.074949938,0.004164303,0.035109872,0.019669621,0.003701004,0.001618898,0.015673986,0.019104547,0.009798356,0.001173749,0.003837992,0.000591946,0.009674481,0.013647134,0.011388747,0.006152916,0.000518015,0.000958152,0.003219173,0.000210469,0.008229418,0.00897845,0.010214221,0.007411323,0.004379994,0.000901875,0.000476223,0.001683941,0.002485987,0.000315155,1258.391911,394.528817,0,3,3
1,4,M,6059,14429,2237,502,1930,455,2097.457831,475.3031853,6059,-1.46E-10,30976359.98,39374702.72,1.73E-11,929894.9639,9150778.501,5592736543,393202.0485,2334845.746,1613816408,44726680182,5.786623239,8908,0.994097094,87.83255889,1,0.41991822,0.172812357,0.854489145,0.696568594,0.000217001,0.000224547,4.96E-08,0.000172911,-4.25E-10,5117.116318,60.23341406,5112.454196,-153.4733395,-153.4733395,64.89553532,286.1360884,306.0588179,17.72004515,6.13993409,5.830951895,37.83174867,31.04407552,nan,nan,0.843778544,0.013778911,nan,0.025329813,0.003202253,0.025143255,0.010710602,0.000817064,0.007255231,0.002583232,0.000189565,0.000999124,0.000483594,0.000959708,88.26003817,663.7705986,0.680175123,6059,1014627,200883597,44053374333,123017,21530055,4399164069,9.83E+11,2890839,524188135,1.09E+11,2.46E+13,0.082357144,0.007879006,0.044433868,0.018514539,0.001298226,0.005316737,0.024120341,0.018915708,0.008889018,0.005367483,0.004034601,0.003378084,0.01575605,0.014804226,0.010448179,0.005507668,0.004847785,0.001563998,0.003575722,0.002332515,0.0117874,0.011128479,0.009575803,0.006588055,0.003905204,0.002022799,0.002019237,0.00289941,0.002604599,0.001751407,2097.457831,475.3031853,0,4,4
1,5,,4760,18370,543,551,433,384,492.1319328,473.3611345,4760,-8.53E-13,2480837.146,-25639362.1,6.92E-11,3262917.208,-60598869.12,4723643524,7107230.21,-103338232.1,7167008304,-2.34E+11,4.001135297,8126,0.953765717,77.84998544,1,0.259118127,0.249929064,0.42317224,0.124647762,0.037141479,0.015169367,0.000344509,0.004663427,-0.000104693,1847.420594,166.8792706,521.1842744,-685.4868083,-685.4868083,1493.11559,171.9265236,174.837067,21.1896201,7.161541251,5.830951895,61.05714492,51.67270391,nan,nan,0.109492495,-0.016401737,nan,0.144009834,-0.038765656,0.043798199,0.313679746,-0.066106421,0.066453376,-0.031433175,-0.052677064,0.106256163,-0.052039819,0.041763533,27.33291696,489.2152955,0.585774059,4760,281468,19124584,1398627644,425359,28415217,2034280855,1.53E+11,45117793,3147720037,2.31E+11,1.76E+13,0.194332862,0.034666548,0.081584128,0.047075948,0.030345368,0.006187987,0.031817095,0.039090296,0.017928986,0.018178811,0.012122739,0.004643972,0.018291261,0.019989805,0.020070693,0.005505157,0.012906359,0.010631918,0.002148844,0.008059467,0.009719375,0.010369221,0.011355645,0.009446863,0.000467484,0.008900476,0.009193035,0.004653029,0.004959455,0.008548108,492.1319328,473.3611345,0,5,5
1,6,,4087,9000,528,645,438,545,478.0990947,596.7335454,4087,-6.76E-12,1445702.867,-635549.4113,1.04E-11,-1050432.086,6373469.375,-746416557.9,2153026.831,-5066479.23,860067532.4,-8530509160,2.429765142,4884,0.873132181,72.1368839,1,0.454111111,0.411562411,0.215446753,0.017612097,0.000657419,3.32E-05,2.74E-09,1.89E-06,4.06E-09,711.4595027,169.0713751,353.7320447,257.0178825,257.0178825,526.7988331,106.6927928,112.1605991,25,8.67090302,7.615773106,55.09813861,52.01097962,nan,nan,0.086550537,-0.000595165,nan,-0.062886685,0.005968488,-0.010933705,0.128896216,-0.004744546,0.012598494,-0.001954604,-0.003806549,-0.016984514,0.002026457,-0.002641714,-35.69626353,353.25588,0.836814087,4087,163885,8017343,436795399,211435,7427920,336896296,17550182002,13091309,411198008,17316063212,8.56E+11,0.413651035,0.032827774,0.176814146,0.068997009,0.032706572,0.010301576,0.034894549,0.047373964,0.024208061,0.012631058,0.006745865,0.008407076,0.000653138,0.004765485,0.018378844,0.015744375,0.006323339,0.00048032,0.008161508,0.004659973,0.007456413,0.008833669,0.003647815,0.010181896,0.012083623,0.013040521,0.005393728,0.002801075,0.008474514,0.000630203,478.0990947,596.7335454,0,6,6
1,7,,4137,9174,689,629,550,563,625.1097414,596.974861,4137,-2.80E-11,3675906.177,-24063586.28,-3.73E-11,884065.4131,-19409095.26,2664179804,925229.3855,-10510561.19,1093933838,-41149745012,2.832230229,5461,0.911523479,72.57680068,1,0.450948332,0.353078641,0.268840062,0.036503756,0.00269697,0.001348935,2.57E-06,0.000223837,-1.72E-07,951.302374,160.8889634,888.5439153,-213.6972234,-213.6972234,223.6474222,123.3727603,144.2497834,25.49509757,8.477078753,7,57.15140698,50.73680533,nan,nan,0.214779772,-0.021859818,nan,0.051655118,-0.01763159,0.037627639,0.054060291,-0.009547993,0.015450214,-0.009035825,-0.001407441,0.005764601,-0.003756386,0.004905922,73.63357629,383.7178208,0.757553562,4137,310729,27014681,2557194841,140554,11441040,1031214786,1.00E+11,5700532,477726922,43622649624,4.27E+12,0.253142637,0.027653469,0.138856715,0.040635372,0.030268906,0.005833317,0.069898813,0.02634877,0.021850717,0.015935288,0.008894342,0.002929628,0.027445549,0.009877286,0.017638501,0.0138843,0.007524708,0.004901931,0.003671376,0.002533418,0.001083307,0.003588621,0.008468239,0.011717246,0.009722172,0.008505466,0.002043675,0.004002312,0.002945087,0.002216081,625.1097414,596.974861,0,7,7
1,8,M,5138,21942,1243,769,1137,562,1202.326586,639.3873102,5138,2.88E-11,2934289.988,-55066689,2.38E-10,-4867610.907,138373651.5,-9429801337,11520389.25,-283687914,18771439122,-9.01E+11,4.535672282,8241,0.972764194,80.88204239,1,0.234162793,0.220474483,0.547545557,0.241775494,0.178493369,0.142124333,0.02263622,0.069184317,0.000152074,2669.839086,143.4499835,571.0957548,947.3746412,947.3746412,2242.193315,206.6819426,220.0568108,23.08679276,7.763880112,6.32455532,58.54792672,47.90824288,nan,nan,0.111151373,-0.029100719,nan,-0.184385878,0.073125383,-0.069521678,0.436394184,-0.149918623,0.138393365,-0.092706327,0.258652266,-0.284182458,0.188760509,-0.150564176,-24.29445958,541.156421,0.623468026,5138,335648,24861028,1952393696,397616,21107285,1426332931,1.06E+11,42290822,1725644485,1.03E+11,7.14E+12,0.135040956,0.042083074,0.046140541,0.03938964,0.033565506,0.014590793,0.01004377,0.031826858,0.017848006,0.012053304,0.020392327,0.006173904,0.009120599,0.013628355,0.016907859,0.010223802,0.00808285,0.012625902,0.010419262,0.003118666,0.005990768,0.006987505,0.008715118,0.009100403,0.00689577,0.007420284,0.007607226,0.007366249,0.005573323,0.001837064,1202.326586,639.3873102,0,8,8
1,9,,3811,8000,728,693,628,613,680.5434269,646.2442928,3811,2.15E-11,1782149.563,-13920490.75,-1.82E-11,759280.0695,-2357201.77,742383320.6,1326955.563,10402565.66,683483471.7,4416959277,2.299560996,4637,0.821829802,69.65856663,1,0.476375,0.434865612,0.214070838,0.0119145,0.003023461,0.000150454,-5.41E-08,-1.33E-05,8.58E-08,615.9040956,199.9198682,467.6330524,-199.2338151,-199.2338151,348.1909114,99.26966067,111.2115102,25.23885893,8.589682596,7.615773106,52.31318328,56.55720901,nan,nan,0.122706128,-0.015525914,nan,0.052278619,-0.002629053,0.01341255,0.09136471,0.011602273,0.012348414,0.001292668,0.014250527,0.012052103,0.003032793,0.002738744,53.34314794,331.8538598,0.821867587,3811,200243,12303603,819833465,126694,7416217,486457733,33914288659,5538808,351913977,24186284537,1.74E+12,0.392328259,0.085373358,0.148141023,0.035698106,0.076055318,0.005738522,0.002487276,0.020420886,0.024393079,0.019150127,0.004814388,0.003277281,0.005221101,0.007678153,0.023409975,0.017402719,0.008704088,0.007634074,0.004267701,0.000578907,0.012525323,0.013298659,0.007893015,0.01759598,0.009674468,0.004608106,0.003996444,0.005547973,0.002463289,0.002123976,680.5434269,646.2442928,0,9,9
1,10,,5766,15732,527,725,413,587,478.0901838,656.7029136,5766,3.38E-11,4160477.104,-69327293.59,6.00E-11,-419319.5151,-44132355.35,-448958608.8,4570928.091,81376956.05,3212182560,76647123193,3.745295673,9812,0.439556018,85.68254907,1,0.366514111,0.267001617,0.262624275,0.000788699,0.01822558,0.000309203,3.00E-07,7.33E-06,-6.70E-07,838.1113167,676.1802538,721.5534347,72.72277404,72.72277404,792.7381358,115.8006091,138.6542462,27.29468813,8.089291736,7,103.7661695,104.0138648,nan,nan,0.12513934,-0.027461082,nan,-0.012612344,-0.017481171,-0.002341976,0.137484935,0.032234048,0.01675623,0.005265439,0.000557179,-0.009480974,-0.005805903,-0.002879023,-31.96085706,520.9371209,0.587647778,5766,375310,28589474,2333179264,401907,25740881,1894050113,1.48E+11,32585017,2143886119,1.58E+11,1.23E+13,0.340910795,0.043303342,0.13813292,0.014009982,0.025803769,0.046950199,0.046132602,0.019708163,0.022079802,0.005783399,0.037607672,0.007882822,0.027948722,0.017713126,0.022854255,0.016391226,0.004661707,0.013012588,0.012604846,0.010396661,0.002860628,0.006401703,0.007409529,0.01465059,0.006044424,0.002113069,0.00870651,0.013738381,0.008108707,0.004814933,478.0901838,656.7029136,0,10,10
